date,securities_traded,advanced,declined,unchanged,turnover_hkd,total_shares,deals
2026-06-18,8446,5124,7173,3477,358714541610,330320857390,5049735
2026-06-17,7948,4718,6774,4242,270412058257,333404820150,4132068
2026-06-16,8181,4574,7333,3759,249884957667,342221425087,4108495
2026-06-15,8441,6307,5017,4299,283353409699,360773589860,4345379
