sharpe,return_annual,volatility,max_dd,calmar,profit_factor,trades,win_rate,max_losing_streak,t_stat,significant,total_return,cost_total,symbol,strategy,status
-0.879,-0.075,0.085,-0.24,-0.313,0.64,88.0,0.331,5.0,-0.65,False,-0.236,0.2024,0823.HK,bollinger,ok
-0.403,-0.077,0.191,-0.377,-0.205,0.86,118.0,0.356,7.0,-0.43,False,-0.279,0.2714,0762.HK,mean_reversion,ok
0.386,0.121,0.314,-0.338,0.358,1.07,50.0,0.51,9.0,0.69,False,0.28,0.2277,0762.HK,momentum,ok
0.113,0.022,0.192,-0.254,0.086,1.04,183.0,0.38,8.0,0.12,False,0.012,0.4209,0762.HK,breakout,ok
-0.772,-0.133,0.172,-0.435,-0.305,0.69,72.0,0.351,6.0,-0.67,False,-0.398,0.1656,0762.HK,rsi_reversal,ok
-0.324,-0.095,0.292,-0.533,-0.177,0.94,149.0,0.473,9.0,-0.56,False,-0.374,0.4577,0762.HK,multifactor,ok
-1.083,-0.182,0.168,-0.513,-0.355,0.56,104.0,0.268,7.0,-0.87,False,-0.49,0.2392,0762.HK,bollinger,ok
-0.765,-0.251,0.328,-0.785,-0.319,0.74,114.0,0.434,6.0,-0.79,False,-0.651,0.2622,0992.HK,mean_reversion,ok
0.753,0.368,0.489,-0.356,1.036,1.15,45.0,0.486,10.0,1.36,False,1.364,0.2047,0992.HK,momentum,ok
0.028,0.008,0.302,-0.518,0.016,1.01,217.0,0.264,8.0,0.03,False,-0.113,0.5014,0992.HK,breakout,ok
-0.606,-0.153,0.253,-0.565,-0.271,0.75,70.0,0.429,6.0,-0.49,False,-0.472,0.161,0992.HK,rsi_reversal,ok
-0.234,-0.11,0.469,-0.819,-0.134,0.95,166.0,0.439,11.0,-0.41,False,-0.524,0.529,0992.HK,multifactor,ok
-0.767,-0.195,0.254,-0.621,-0.314,0.63,114.0,0.368,6.0,-0.6,False,-0.545,0.2622,0992.HK,bollinger,ok
-0.479,-0.049,0.101,-0.242,-0.2,0.87,122.0,0.378,6.0,-0.52,False,-0.167,0.2806,1038.HK,mean_reversion,ok
-0.35,-0.074,0.211,-0.458,-0.161,0.94,50.0,0.489,10.0,-0.62,False,-0.28,0.2277,1038.HK,momentum,ok
-1.633,-0.186,0.114,-0.541,-0.344,0.6,226.0,0.275,8.0,-1.82,False,-0.482,0.5198,1038.HK,breakout,ok
-0.502,-0.036,0.071,-0.172,-0.206,0.82,84.0,0.375,6.0,-0.41,False,-0.122,0.1932,1038.HK,rsi_reversal,ok
-0.434,-0.086,0.198,-0.558,-0.154,0.93,167.0,0.465,10.0,-0.75,False,-0.303,0.5428,1038.HK,multifactor,ok
-0.845,-0.075,0.088,-0.256,-0.292,0.68,110.0,0.327,6.0,-0.66,False,-0.236,0.253,1038.HK,bollinger,ok
-0.839,-0.149,0.178,-0.498,-0.299,0.78,109.0,0.405,9.0,-0.96,False,-0.431,0.2507,0857.HK,mean_reversion,ok
-0.176,-0.054,0.304,-0.601,-0.089,0.97,48.0,0.471,10.0,-0.31,False,-0.29,0.2185,0857.HK,momentum,ok
-0.001,-0.0,0.144,-0.341,-0.0,1.0,207.0,0.331,7.0,-0.0,False,-0.035,0.4761,0857.HK,breakout,ok
-0.862,-0.125,0.146,-0.389,-0.323,0.74,91.0,0.411,9.0,-0.83,False,-0.372,0.2093,0857.HK,rsi_reversal,ok
0.318,0.091,0.287,-0.454,0.201,1.06,138.0,0.469,10.0,0.55,False,0.185,0.4347,0857.HK,multifactor,ok
-1.183,-0.127,0.108,-0.394,-0.323,0.57,110.0,0.319,5.0,-0.95,False,-0.366,0.253,0857.HK,bollinger,ok
-0.203,-0.05,0.244,-0.488,-0.102,0.92,90.0,0.398,10.0,-0.19,False,-0.238,0.207,0868.HK,mean_reversion,ok
-0.703,-0.299,0.425,-0.795,-0.376,0.88,59.0,0.504,10.0,-1.27,False,-0.736,0.2645,0868.HK,momentum,ok
-0.926,-0.222,0.239,-0.581,-0.382,0.71,195.0,0.327,5.0,-1.01,False,-0.576,0.4508,0868.HK,breakout,ok
0.034,0.007,0.202,-0.334,0.02,1.02,72.0,0.403,10.0,0.03,False,-0.044,0.1656,0868.HK,rsi_reversal,ok
-1.074,-0.425,0.396,-0.84,-0.506,0.82,165.0,0.438,12.0,-1.89,False,-0.822,0.4853,0868.HK,multifactor,ok
-0.29,-0.053,0.182,-0.304,-0.174,0.84,96.0,0.312,4.0,-0.21,False,-0.211,0.2208,0868.HK,bollinger,ok
-0.274,-0.063,0.231,-0.523,-0.121,0.92,121.0,0.361,7.0,-0.29,False,-0.264,0.2783,1810.HK,mean_reversion,ok
0.855,0.361,0.422,-0.401,0.9,1.16,51.0,0.534,10.0,1.56,False,1.537,0.2277,1810.HK,momentum,ok
-0.677,-0.146,0.215,-0.492,-0.296,0.8,203.0,0.341,5.0,-0.75,False,-0.439,0.4669,1810.HK,breakout,ok
-0.431,-0.076,0.176,-0.399,-0.191,0.82,62.0,0.341,7.0,-0.31,False,-0.269,0.1426,1810.HK,rsi_reversal,ok
0.507,0.2,0.395,-0.486,0.412,1.1,148.0,0.489,10.0,0.89,False,0.512,0.4623,1810.HK,multifactor,ok
-0.036,-0.005,0.15,-0.332,-0.016,0.98,114.0,0.311,7.0,-0.03,False,-0.055,0.2622,1810.HK,bollinger,ok
