symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha
0857.HK,南北水流入,0.094,0.071,-0.382,0.463,147,1.147,2.107,-0.365,-1.053
0857.HK,南北水動量,-0.057,-0.022,-0.481,0.495,103,1.147,2.107,-0.365,-1.205
0857.HK,放量+南北水,-0.551,-0.261,-0.394,0.393,84,1.147,2.107,-0.365,-1.698
0868.HK,南北水流入,-0.017,-0.149,-0.547,0.484,155,-0.113,-0.315,-0.636,0.097
0868.HK,南北水動量,-0.796,-0.59,-0.66,0.426,108,-0.113,-0.315,-0.636,-0.683
0868.HK,放量+南北水,-0.145,-0.152,-0.38,0.456,90,-0.113,-0.315,-0.636,-0.032
0836.HK,南北水流入,-0.547,-0.381,-0.549,0.423,149,0.441,0.491,-0.314,-0.988
0836.HK,南北水動量,-0.84,-0.425,-0.502,0.436,101,0.441,0.491,-0.314,-1.281
0836.HK,放量+南北水,-1.69,-0.553,-0.597,0.376,93,0.441,0.491,-0.314,-2.131
0823.HK,南北水流入,-1.385,-0.629,-0.68,0.417,151,-0.29,-0.222,-0.479,-1.095
0823.HK,南北水動量,-1.493,-0.592,-0.645,0.379,103,-0.29,-0.222,-0.479,-1.203
0823.HK,放量+南北水,-1.917,-0.557,-0.571,0.272,81,-0.29,-0.222,-0.479,-1.627
0883.HK,南北水流入,0.2,0.178,-0.39,0.469,147,1.024,1.725,-0.308,-0.824
0883.HK,南北水動量,0.014,0.026,-0.342,0.5,102,1.024,1.725,-0.308,-1.01
0883.HK,放量+南北水,-0.655,-0.289,-0.439,0.368,95,1.024,1.725,-0.308,-1.679
0981.HK,南北水流入,0.993,2.8,-0.358,0.516,153,1.014,3.636,-0.452,-0.02
0981.HK,南北水動量,0.996,2.498,-0.396,0.5,108,1.014,3.636,-0.452,-0.017
0981.HK,放量+南北水,0.634,0.917,-0.307,0.5,88,1.014,3.636,-0.452,-0.379
0939.HK,南北水流入,-0.044,0.012,-0.24,0.483,147,1.021,1.236,-0.22,-1.065
0939.HK,南北水動量,0.272,0.231,-0.182,0.545,101,1.021,1.236,-0.22,-0.749
0939.HK,放量+南北水,-1.105,-0.321,-0.389,0.449,89,1.021,1.236,-0.22,-2.127
0941.HK,南北水流入,-0.836,-0.294,-0.382,0.438,146,0.917,0.789,-0.137,-1.753
0941.HK,南北水動量,-0.703,-0.199,-0.324,0.42,100,0.917,0.789,-0.137,-1.621
0941.HK,放量+南北水,-1.202,-0.267,-0.314,0.386,83,0.917,0.789,-0.137,-2.12
1088.HK,南北水流入,-0.321,-0.219,-0.356,0.399,148,0.903,1.273,-0.245,-1.224
1088.HK,南北水動量,-0.037,0.011,-0.318,0.48,102,0.903,1.273,-0.245,-0.94
1088.HK,放量+南北水,-1.025,-0.331,-0.355,0.432,95,0.903,1.273,-0.245,-1.928
1109.HK,南北水流入,-0.105,-0.178,-0.448,0.435,147,0.205,0.115,-0.465,-0.311
1109.HK,南北水動量,-0.672,-0.474,-0.668,0.466,103,0.205,0.115,-0.465,-0.877
1109.HK,放量+南北水,-0.718,-0.439,-0.49,0.404,94,0.205,0.115,-0.465,-0.924
1093.HK,南北水流入,-0.126,-0.277,-0.514,0.417,151,0.075,-0.115,-0.496,-0.2
1093.HK,南北水動量,-0.228,-0.239,-0.508,0.413,104,0.075,-0.115,-0.496,-0.303
1093.HK,放量+南北水,0.08,0.047,-0.376,0.482,83,0.075,-0.115,-0.496,0.005
1044.HK,南北水流入,-1.378,-0.603,-0.646,0.433,150,-0.424,-0.287,-0.476,-0.954
1044.HK,南北水動量,-2.041,-0.672,-0.684,0.359,103,-0.424,-0.287,-0.476,-1.617
1044.HK,放量+南北水,-2.035,-0.588,-0.588,0.307,88,-0.424,-0.287,-0.476,-1.611
1211.HK,南北水流入,-0.671,-0.812,-0.835,0.458,153,-0.176,-0.612,-0.826,-0.495
1211.HK,南北水動量,-0.628,-0.464,-0.547,0.434,106,-0.176,-0.612,-0.826,-0.452
1211.HK,放量+南北水,-0.812,-0.8,-0.815,0.425,80,-0.176,-0.612,-0.826,-0.636
1177.HK,南北水流入,-0.459,-0.481,-0.568,0.409,154,0.174,0.063,-0.52,-0.633
1177.HK,南北水動量,-0.471,-0.379,-0.453,0.429,105,0.174,0.063,-0.52,-0.645
1177.HK,放量+南北水,-0.075,-0.061,-0.34,0.43,86,0.174,0.063,-0.52,-0.249
1299.HK,南北水流入,-0.471,-0.363,-0.591,0.421,152,-0.009,-0.077,-0.486,-0.462
1299.HK,南北水動量,-1.089,-0.561,-0.666,0.368,106,-0.009,-0.077,-0.486,-1.081
