symbol,strategy,sharpe,return,max_dd,win_rate,trades,bnh_sharpe,bnh_return,bnh_dd,alpha,days
0981.HK,牛熊順向,0.72,0.039,-0.192,1.0,2,0.964,0.06,-0.188,-0.243,33
0939.HK,牛熊逆向,-5.641,-0.015,-0.015,0.0,1,-1.136,-0.025,-0.05,-4.505,33
0939.HK,牛熊順向,-0.735,-0.015,-0.05,0.5,2,-1.136,-0.025,-0.05,0.401,33
0941.HK,牛熊逆向,-4.359,-0.011,-0.011,0.0,1,-3.526,-0.046,-0.076,-0.833,33
0941.HK,牛熊順向,-3.482,-0.045,-0.075,0.0,2,-3.526,-0.046,-0.076,0.044,33
1088.HK,牛熊逆向,-3.055,-0.051,-0.052,0.0,1,-3.327,-0.119,-0.115,0.272,33
1088.HK,牛熊順向,-3.273,-0.102,-0.11,0.333,3,-3.327,-0.119,-0.115,0.054,33
1109.HK,牛熊逆向,-3.608,-0.033,-0.033,0.0,1,-0.417,-0.029,-0.165,-3.191,33
1109.HK,牛熊順向,-0.1,-0.012,-0.146,0.5,2,-0.417,-0.029,-0.165,0.318,33
1093.HK,牛熊逆向,-1.96,-0.027,-0.039,0.0,1,-3.974,-0.188,-0.18,2.014,33
1093.HK,牛熊順向,-3.162,-0.149,-0.156,0.0,3,-3.974,-0.188,-0.18,0.813,33
1044.HK,牛熊逆向,-5.657,-0.01,-0.01,0.0,1,-4.334,-0.111,-0.131,-1.323,33
1044.HK,牛熊順向,-4.932,-0.125,-0.139,0.333,3,-4.334,-0.111,-0.131,-0.598,33
1211.HK,牛熊逆向,-4.543,-0.033,-0.033,0.0,1,-5.602,-0.215,-0.205,1.059,33
1211.HK,牛熊順向,-4.795,-0.188,-0.192,0.0,3,-5.602,-0.215,-0.205,0.807,33
1177.HK,牛熊逆向,-1.03,-0.007,-0.021,0.0,1,-4.036,-0.164,-0.228,3.006,33
1177.HK,牛熊順向,-3.414,-0.133,-0.202,0.0,3,-4.036,-0.164,-0.228,0.622,33
1299.HK,牛熊逆向,0.057,0.004,-0.019,1.0,1,-3.621,-0.143,-0.212,3.678,33
1299.HK,牛熊順向,-3.0,-0.112,-0.172,0.333,3,-3.621,-0.143,-0.212,0.622,33
1113.HK,牛熊逆向,-0.735,-0.002,-0.015,0.0,1,-2.698,-0.095,-0.144,1.963,33
1113.HK,牛熊順向,-3.537,-0.12,-0.159,0.333,3,-2.698,-0.095,-0.144,-0.839,33
1398.HK,牛熊逆向,-3.961,-0.009,-0.011,0.0,1,-0.412,-0.01,-0.065,-3.549,33
1398.HK,牛熊順向,-0.418,-0.01,-0.065,0.5,2,-0.412,-0.01,-0.065,-0.006,33
1378.HK,牛熊逆向,-3.899,-0.105,-0.105,0.0,1,-5.663,-0.276,-0.293,1.765,33
1378.HK,牛熊順向,-3.683,-0.159,-0.179,0.0,3,-5.663,-0.276,-0.293,1.98,33
1810.HK,牛熊逆向,-3.169,-0.025,-0.025,0.0,1,-6.188,-0.207,-0.227,3.019,33
1810.HK,牛熊順向,-5.115,-0.173,-0.206,0.0,3,-6.188,-0.207,-0.227,1.073,33
1997.HK,牛熊逆向,-3.78,-0.015,-0.015,0.0,1,-3.42,-0.107,-0.167,-0.36,33
1997.HK,牛熊順向,-3.081,-0.097,-0.159,0.333,3,-3.42,-0.107,-0.167,0.339,33
2388.HK,牛熊逆向,1.681,0.009,-0.002,1.0,1,2.839,0.075,-0.041,-1.158,33
2388.HK,牛熊順向,2.391,0.063,-0.041,0.5,2,2.839,0.075,-0.041,-0.447,33
2382.HK,牛熊逆向,1.391,0.038,-0.024,1.0,1,2.551,0.213,-0.141,-1.161,33
2382.HK,牛熊順向,1.904,0.146,-0.141,1.0,2,2.551,0.213,-0.141,-0.647,33
2628.HK,牛熊逆向,0.104,0.005,-0.027,1.0,1,-0.448,-0.026,-0.127,0.552,33
