date,mutual_type,type_name,net_buy,buy,sell,total,fund_inflow,quota_balance,accum_buy
2014-12-05,2,南向_港股通滬,1650.97,2091.7,440.73,2532.43,-9069.0,9069.0,7768.93
2014-12-05,5,合計,2449.57,5984.29,3534.72,9519.01,2567.0,10433.0,54480.83
2014-12-05,6,006,1650.97,2091.7,440.73,2532.43,-9069.0,9069.0,7768.93
2014-12-08,1,北向_滬股通,1415.99,4816.88,3400.89,8217.77,1677.0,11323.0,55896.82
2014-12-08,2,南向_港股通滬,552.82,927.57,374.75,1302.32,-9975.0,9975.0,8321.75
2014-12-08,5,合計,1415.99,4816.88,3400.89,8217.77,1677.0,11323.0,55896.82
2014-12-08,6,006,552.82,927.57,374.75,1302.32,-9975.0,9975.0,8321.75
2014-12-09,1,北向_滬股通,1024.19,5631.63,4607.44,10239.07,1159.0,11841.0,56921.01
2014-12-09,2,南向_港股通滬,850.31,1358.57,508.26,1866.83,-9737.0,9737.0,9172.06
2014-12-09,5,合計,1024.19,5631.63,4607.44,10239.07,1159.0,11841.0,56921.01
2014-12-09,6,006,850.31,1358.57,508.26,1866.83,-9737.0,9737.0,9172.06
2014-12-10,1,北向_滬股通,1836.43,4386.74,2550.31,6937.05,1941.0,11059.0,58757.44
2014-12-10,2,南向_港股通滬,402.2,646.84,244.64,891.48,-10109.0,10109.0,9574.26
2014-12-10,5,合計,1836.43,4386.74,2550.31,6937.05,1941.0,11059.0,58757.44
2014-12-10,6,006,402.2,646.84,244.64,891.48,-10109.0,10109.0,9574.26
2014-12-11,1,北向_滬股通,914.77,2651.17,1736.4,4387.57,1074.0,11926.0,59672.21
2014-12-11,2,南向_港股通滬,514.86,723.62,208.76,932.38,-10017.0,10017.0,10089.12
2014-12-11,5,合計,914.77,2651.17,1736.4,4387.57,1074.0,11926.0,59672.21
2014-12-11,6,006,514.86,723.62,208.76,932.38,-10017.0,10017.0,10089.12
2014-12-12,1,北向_滬股通,1692.45,3396.5,1704.05,5100.55,1862.0,11138.0,61364.66
2014-12-12,2,南向_港股通滬,311.07,499.42,188.35,687.77,-10189.0,10189.0,10400.19
2014-12-12,5,合計,1692.45,3396.5,1704.05,5100.55,1862.0,11138.0,61364.66
2014-12-12,6,006,311.07,499.42,188.35,687.77,-10189.0,10189.0,10400.19
2014-12-15,1,北向_滬股通,936.15,2223.82,1287.67,3511.49,1068.0,11932.0,62300.81
2014-12-15,2,南向_港股通滬,168.63,349.81,181.18,530.99,-10304.0,10304.0,10568.82
2014-12-15,5,合計,936.15,2223.82,1287.67,3511.49,1068.0,11932.0,62300.81
2014-12-15,6,006,168.63,349.81,181.18,530.99,-10304.0,10304.0,10568.82
2014-12-16,1,北向_滬股通,1225.84,2772.36,1546.52,4318.88,1318.0,11682.0,63526.65
2014-12-16,2,南向_港股通滬,409.25,633.37,224.12,857.49,-10107.0,10107.0,10978.07
2014-12-16,5,合計,1225.84,2772.36,1546.52,4318.88,1318.0,11682.0,63526.65
2014-12-16,6,006,409.25,633.37,224.12,857.49,-10107.0,10107.0,10978.07
2014-12-17,1,北向_滬股通,489.08,3573.24,3084.16,6657.4,648.0,12352.0,64015.73
