strategy,params,total_return,sharpe,trades,win_rate
MA,"(10, 30)",0.6712451772929794,10.180592447388152,8,0.625
MA,"(10, 70)",0.5812734275958585,19.98446027893522,4,1.0
MA,"(5, 30)",0.5754892555727534,6.6649398593363545,11,0.4545454545454545
MA,"(5, 60)",0.5221176318232542,7.590341436856367,9,0.5555555555555556
MA,"(5, 70)",0.5153820553125708,8.048505218326735,9,0.4444444444444444
MA,"(5, 80)",0.4942948030061739,6.464603862864101,9,0.4444444444444444
MA,"(30, 60)",0.4810159180763391,18.12248288770729,4,0.75
MA,"(30, 40)",0.4764126360887509,6.227964518856681,8,0.625
MA,"(10, 40)",0.4749550571639258,6.65886295602489,8,0.625
MA,"(25, 60)",0.4538583383775758,16.4926723296655,4,0.75
RSI,"(21, 35, 75)",0.4498428257037109,47.35765007018074,2,1.0
MA,"(30, 50)",0.4219538852547574,8.996605769395822,6,0.6666666666666666
MA,"(20, 60)",0.420771831481127,13.198650848859842,5,0.8
MA,"(10, 60)",0.4179267183197055,9.343772837448372,6,0.6666666666666666
RSI,"(21, 20, 80)",0.4146395787263152,0.0,1,1.0
RSI,"(21, 25, 80)",0.4146395787263152,0.0,1,1.0
RSI,"(21, 30, 80)",0.4146395787263152,0.0,1,1.0
RSI,"(21, 35, 80)",0.4146395787263152,0.0,1,1.0
RSI,"(30, 15, 75)",0.4146395787263152,0.0,1,1.0
RSI,"(30, 20, 75)",0.4146395787263152,0.0,1,1.0
RSI,"(30, 25, 75)",0.4146395787263152,0.0,1,1.0
RSI,"(30, 30, 75)",0.4146395787263152,0.0,1,1.0
RSI,"(30, 35, 75)",0.4146395787263152,0.0,1,1.0
MA,"(15, 60)",0.414096222166163,13.228956289891064,5,0.8
MA,"(10, 50)",0.4110291503841628,6.703183517229049,7,0.5714285714285714
RSI,"(14, 30, 80)",0.4003170090546065,0.0,2,1.0
MA,"(5, 50)",0.3813016481811437,4.919199065629567,12,0.4166666666666667
MA,"(15, 50)",0.3800089689030833,6.77740240161743,7,0.5714285714285714
RSI,"(21, 15, 80)",0.3713799240589884,0.0,1,1.0
MA,"(25, 80)",0.3674390711983072,42.69176207738364,2,1.0
MA,"(20, 30)",0.3559499739031015,5.407871376643466,9,0.5555555555555556
MA,"(25, 50)",0.3460180163397418,6.815891136476823,6,0.5
MA,"(15, 70)",0.3389765437573255,26.196616193653146,3,1.0
MA,"(20, 40)",0.3263431657738057,7.1953876865738815,7,0.7142857142857143
RSI,"(10, 35, 80)",0.3159532042907133,47.19981829705447,4,1.0
MA,"(15, 30)",0.3158994376168155,5.027008926310601,9,0.4444444444444444
RSI,"(14, 35, 80)",0.3092726731815539,0.0,2,1.0
MA,"(5, 90)",0.2977059246918814,13.024982834640737,5,0.6
MA,"(5, 40)",0.2855114155707262,3.395236934140419,13,0.3846153846153846
