strategy,params,total_return,avg_return,sharpe_ratio,max_drawdown,win_rate,trades
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 25, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 25, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 10, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 15, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 10, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 15, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 30, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 35, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 39, 'oversold': 35, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 20, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 20, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 39, 'oversold': 30, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 35, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 30, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 49, 'oversold': 20, 'overbought': 65}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 15, 'oversold': 20, 'overbought': 85}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 20, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 25, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 31, 'oversold': 15, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 31, 'oversold': 10, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 39, 'oversold': 20, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 39, 'oversold': 25, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 15, 'oversold': 25, 'overbought': 85}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 35, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 15, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 30, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 30, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 35, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 15, 'oversold': 10, 'overbought': 85}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 15, 'oversold': 15, 'overbought': 85}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 10, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 35, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 15, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 20, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 30, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 25, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 37, 'oversold': 15, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 35, 'oversold': 10, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 43, 'oversold': 10, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 41, 'oversold': 25, 'overbought': 70}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 29, 'oversold': 15, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 27, 'oversold': 25, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 23, 'oversold': 20, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 21, 'oversold': 35, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 23, 'oversold': 15, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 19, 'oversold': 20, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 19, 'oversold': 10, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 17, 'oversold': 35, 'overbought': 85}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 29, 'oversold': 10, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 23, 'oversold': 30, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 27, 'oversold': 10, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 27, 'oversold': 15, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 31, 'oversold': 35, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 27, 'oversold': 20, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 31, 'oversold': 30, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 27, 'oversold': 35, 'overbought': 75}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
RSI_MEAN_REVERSION,"{'period': 21, 'oversold': 10, 'overbought': 80}",0.48608142461456755,0.48608142461456755,771630339.8748816,0.48608142461456755,1.0,1
