strategy,period,oversold,overbought,total_return,sharpe_ratio,max_drawdown,win_rate,trades_count,fast,slow,signal
RSI_MEAN_REVERSION,25.0,35.0,70.0,0.24647962804185397,0.27872500078255014,-0.10740018647225591,0.5454545454545454,44,,,
RSI_MEAN_REVERSION,20.0,35.0,70.0,0.23044638769001158,0.2541883705015431,-0.11942455327641639,0.5660377358490566,53,,,
MACD_CROSSOVER,,,,0.25566711762488903,0.24941072630127467,-0.14587109483435656,0.5,80,8.0,30.0,12.0
MACD_CROSSOVER,,,,0.25566711762488903,0.24941072630127467,-0.14587109483435656,0.5,80,12.0,30.0,8.0
RSI_MEAN_REVERSION,14.0,30.0,70.0,0.24156612373524777,0.24795260613412046,-0.1382695240024534,0.6896551724137931,58,,,
MACD_CROSSOVER,,,,0.23871325072741434,0.24224581537716716,-0.10293435673771412,0.5,82,15.0,35.0,6.0
RSI_MEAN_REVERSION,25.0,25.0,70.0,0.2133360944268261,0.24142187475756816,-0.1074001864722559,0.6551724137931034,29,,,
RSI_MEAN_REVERSION,14.0,30.0,65.0,0.2362912378192401,0.22942381671348128,-0.1383775139742939,0.6025641025641025,78,,,
RSI_MEAN_REVERSION,20.0,30.0,70.0,0.20938582817806828,0.2179602685304235,-0.0829234662531975,0.6216216216216216,37,,,
RSI_MEAN_REVERSION,10.0,30.0,65.0,0.23198814196640183,0.20494415444689526,-0.20469273515360956,0.5904761904761905,105,,,
RSI_MEAN_REVERSION,30.0,30.0,70.0,0.1982044128017877,0.20447801748572925,-0.07232409341688563,0.625,24,,,
RSI_MEAN_REVERSION,30.0,30.0,65.0,0.2021523276804542,0.20289417768656356,-0.17473882746248184,0.5945945945945946,37,,,
RSI_MEAN_REVERSION,25.0,20.0,70.0,0.19740130581247795,0.1983511207321786,-0.10740018647225581,0.6296296296296297,27,,,
MACD_CROSSOVER,,,,0.2132724406018529,0.18270609178240974,-0.10293435673771394,0.4880952380952381,84,15.0,30.0,6.0
RSI_MEAN_REVERSION,10.0,30.0,70.0,0.20791024689603566,0.1770826208058691,-0.11637735112845643,0.5930232558139535,86,,,
RSI_MEAN_REVERSION,7.0,35.0,75.0,0.2080541599983332,0.16902151520266237,-0.14186507799244136,0.5602836879432624,141,,,
RSI_MEAN_REVERSION,10.0,25.0,65.0,0.2056805535366033,0.16701807188419998,-0.19030520687306568,0.5714285714285714,91,,,
RSI_MEAN_REVERSION,30.0,25.0,65.0,0.18208215502110847,0.15841772162179515,-0.1747388274624818,0.6333333333333333,30,,,
RSI_MEAN_REVERSION,14.0,25.0,70.0,0.18971092519220845,0.15793361106757586,-0.10151721764285489,0.717391304347826,46,,,
RSI_MEAN_REVERSION,30.0,25.0,70.0,0.17820015136802825,0.15709057813963295,-0.07232409341688563,0.7058823529411765,17,,,
