strategy,params,total_return,sharpe,trades,win_rate
RSI,"(14, 35, 80)",0.30927267318155394,480.05127984536136,2,1.0
RSI,"(8, 20, 80)",0.15181125035041018,178.70571171382687,3,1.0
RSI,"(8, 25, 80)",0.14457563083508002,123.2806729806255,3,1.0
RSI,"(11, 30, 80)",0.1848580921023131,74.22137094148374,3,1.0
RSI,"(14, 35, 75)",0.1848580921023131,74.22137094148374,3,1.0
RSI,"(17, 35, 75)",0.3638952541337471,69.32517178442582,3,1.0
RSI,"(14, 30, 80)",0.40031700905460654,62.7180520137982,2,1.0
RSI,"(8, 35, 85)",0.4156518040372908,47.19334880619877,4,1.0
RSI,"(8, 30, 85)",0.43472562272691945,46.84326116447084,4,1.0
MA,"(23, 80)",0.34925760364669467,43.36802489162007,2,1.0
RSI,"(11, 35, 85)",0.3685559099638722,42.93575031908955,2,1.0
RSI,"(20, 35, 75)",0.43722370611480277,42.45146298519987,2,1.0
RSI,"(8, 35, 80)",0.16827382287663858,42.30939045484871,4,1.0
RSI,"(8, 25, 85)",0.34617440106543673,42.25965974627956,3,1.0
RSI,"(8, 20, 85)",0.35401951525308234,42.22855881221847,3,1.0
RSI,"(11, 35, 80)",0.3398398470833063,41.46520524597235,4,1.0
RSI,"(8, 30, 80)",0.18626528142783957,38.994300928418994,4,1.0
MA,"(14, 70)",0.38813815670504775,35.53461519144927,3,1.0
RSI,"(23, 35, 70)",0.3460605221080453,35.29936787488315,2,1.0
MA,"(17, 75)",0.30113092319775864,35.12075524187985,3,1.0
MA,"(26, 80)",0.3454169485389365,34.53842528232154,2,1.0
MA,"(29, 80)",0.26733375110730095,31.976703846908585,2,1.0
RSI,"(11, 35, 75)",0.21805783122922698,31.944801407898673,4,1.0
RSI,"(11, 30, 75)",0.11329604999246254,30.467326801259997,3,1.0
RSI,"(14, 35, 70)",0.11329604999246254,30.467326801259997,3,1.0
MA,"(26, 85)",0.2555867981173477,29.66592440804415,2,1.0
MA,"(17, 65)",0.5212449800735541,29.29256745753067,4,1.0
RSI,"(14, 30, 75)",0.2129636720531773,29.160735768529356,2,1.0
RSI,"(20, 35, 70)",0.2129636720531773,29.160735768529356,2,1.0
RSI,"(17, 35, 70)",0.1470039151610019,27.09001370141964,3,1.0
MA,"(29, 70)",0.2826460356310608,26.808536129732612,3,1.0
MA,"(14, 65)",0.5148081261712456,26.799320671541956,4,1.0
MA,"(29, 85)",0.2302701526666718,25.753395483554513,2,1.0
MA,"(20, 75)",0.2567776476371112,25.200834865800744,3,1.0
MA,"(17, 70)",0.3376047501156616,24.293249931416405,3,1.0
MA,"(26, 75)",0.3454461443841719,23.38185971173825,3,1.0
MA,"(11, 70)",0.5855437392351038,22.132184088348293,4,1.0
MA,"(11, 65)",0.5298797198244896,21.852098776384935,4,1.0
MA,"(29, 75)",0.3302227713586367,21.63650663972997,3,1.0
MA,"(20, 65)",0.423694470085924,21.523489445666705,4,1.0
MA,"(23, 70)",0.26136446985962414,20.152543627421664,3,1.0
RSI,"(11, 25, 80)",0.23754736653676523,20.102516335468447,3,1.0
MA,"(23, 75)",0.2872697323237269,19.47085168703178,3,0.6666666666666666
RSI,"(14, 30, 70)",0.13875543820986397,18.74533423627758,2,1.0
RSI,"(20, 35, 65)",0.13875543820986397,18.74533423627758,2,1.0
MA,"(29, 65)",0.5222012338309943,18.69112223994885,4,0.75
MA,"(23, 60)",0.45605479372970326,18.484471242907222,4,0.75
MA,"(20, 70)",0.26695012466010687,18.124910354500965,3,1.0
RSI,"(23, 35, 65)",0.1751094951118661,18.066121713959184,2,1.0
MA,"(5, 100)",0.21923919420783872,17.958002229573427,4,0.75
MA,"(29, 60)",0.5041415901160294,17.744652952816274,4,0.75
MA,"(14, 75)",0.34739211035403283,16.408247436640668,4,0.75
MA,"(17, 90)",0.19522300752193505,16.211742695329626,2,1.0
MA,"(26, 70)",0.23952057153098394,16.19142577363763,3,0.6666666666666666
MA,"(29, 55)",0.45190436266528183,15.984469258396961,5,0.8
MA,"(23, 90)",0.18603146953909983,15.854190633290063,2,0.5
MA,"(26, 60)",0.43953533598564143,15.233170562322947,4,0.75
MA,"(8, 65)",0.6076709175567085,14.708974087386153,6,0.6666666666666666
RSI,"(11, 25, 75)",0.16449671279146624,14.35119231042572,3,0.6666666666666666
MA,"(29, 50)",0.48785642771802007,14.066257809705418,5,0.8
MA,"(29, 95)",0.23448301353995338,13.812216002167757,2,0.5
MA,"(26, 65)",0.24435003417092635,13.505144208991538,3,0.6666666666666666
MA,"(20, 60)",0.42077183148112707,13.1799808921585,5,0.8
MA,"(29, 90)",0.22089911831344247,13.05954074922956,2,0.5
MA,"(5, 90)",0.2977059246918814,12.998942262215111,5,0.6
MA,"(20, 90)",0.1705628439058568,12.541554938804989,2,0.5
MA,"(26, 90)",0.16711053724486838,12.457918977610596,2,0.5
MA,"(11, 60)",0.46320315177663973,12.255993195002311,5,0.8
MA,"(26, 50)",0.4686993985552131,12.194248878146004,5,0.6
MA,"(8, 70)",0.5798879398685761,12.135703931104224,6,0.6666666666666666
MA,"(23, 65)",0.18393885565662227,12.132995672427718,3,0.6666666666666666
MA,"(17, 60)",0.3874138313487923,11.493093922967073,5,0.8
MA,"(26, 55)",0.4173186067992165,11.4760602796288,6,0.8333333333333334
MA,"(8, 90)",0.2538481983275358,11.287932620286595,4,0.75
MA,"(14, 60)",0.43348741030972565,11.179090550205988,5,0.8
MA,"(5, 95)",0.32153580795356324,10.868907412281457,5,0.6
MA,"(14, 85)",0.12557495364423893,10.331035472136987,2,0.5
MA,"(5, 65)",0.6402734099461769,10.242390719768379,8,0.5
