timestamp,cpu_percent,memory_percent
1763779396.8887174,6.1,27.2
1763779397.903487,10.0,27.3
1763779398.918004,6.7,27.3
1763779399.9242373,6.1,27.3
1763779400.9311721,6.2,27.3
1763779401.9384437,9.4,27.3
1763779402.944979,5.5,27.3
1763779403.9479613,7.0,27.3
1763779404.9565833,6.5,27.3
1763779405.9601963,6.2,27.3
1763779406.9630144,6.1,27.3
1763779407.9637277,6.8,27.3
1763779408.9664266,6.0,27.3
1763779409.972469,6.4,27.3
1763779410.9741292,5.5,27.2
1763779411.998163,5.1,27.2
1763779413.0041654,6.7,27.2
1763779414.0123608,6.3,27.2
1763779415.019744,7.5,27.3
1763779416.0229359,6.1,27.3
1763779417.0294359,6.6,27.3
1763779418.0312376,5.8,27.3
1763779419.0393045,5.6,27.3
1763779420.0450408,6.0,27.3
1763779421.057479,7.4,27.3
1763779422.0667975,5.7,27.3
1763779423.0699909,6.1,27.3
1763779424.0743432,6.5,27.3
1763779425.0823982,6.5,27.3
1763779426.0830631,5.9,27.3
1763779427.0835977,5.6,27.3
1763779428.087474,7.8,27.3
1763779429.0916219,7.7,27.3
1763779430.0933022,6.4,27.3
1763779431.0938742,5.1,27.2
1763779432.1039395,5.2,27.2
1763779433.109872,6.0,27.2
1763779434.113274,5.6,27.2
1763779435.123399,8.1,27.2
1763779436.1255755,5.6,27.2
1763779437.136088,5.5,27.2
1763779438.1391513,6.5,27.2
1763779439.1398013,6.0,27.2
1763779440.1556585,6.8,27.2
1763779441.165275,5.5,27.2
1763779442.165788,5.7,27.2
1763779443.1755621,6.4,27.2
1763779444.1771016,5.6,27.2
1763779445.1922112,4.9,27.2
1763779446.195273,6.5,27.2
1763779447.2043052,5.6,27.2
1763779448.2134302,6.1,27.2
1763779449.2137446,7.2,27.2
1763779450.2226095,5.7,27.2
1763779451.232565,5.3,27.2
1763779452.2352552,6.2,27.2
1763779453.245166,5.0,27.2
1763779454.254134,5.8,27.2
1763779455.2681684,5.3,27.2
1763779456.2723722,5.9,27.2
1763779457.2804532,7.2,27.2
1763779458.2884436,16.1,27.3
1763779459.3021104,10.1,27.3
1763779460.310298,7.7,27.3
1763779461.3159025,9.2,27.3
1763779462.3189156,6.2,27.3
1763779463.3273046,5.4,27.3
1763779464.3292892,6.6,27.3
1763779465.3461113,8.2,27.3
1763779466.3550828,5.6,27.3
1763779467.3615155,6.3,27.3
1763779468.366699,8.4,27.3
1763779469.3780365,8.0,27.3
1763779470.3840778,5.2,27.3
1763779471.3913565,5.5,27.3
1763779472.3926601,7.3,27.3
1763779473.4020145,7.6,27.3
1763779474.4025865,6.7,27.3
1763779475.4048924,5.9,27.3
1763779476.4051876,8.3,27.3
1763779477.4127314,6.5,27.2
1763779478.4130752,6.4,27.3
1763779479.4170742,6.3,27.2
1763779480.4177995,5.9,27.2
1763779481.4337406,6.6,27.3
1763779482.437093,6.2,27.3
1763779483.439657,6.1,27.3
1763779484.4408472,6.8,27.3
1763779485.4411323,5.7,27.3
1763779486.4500515,6.6,27.3
1763779487.4573524,5.5,27.3
1763779488.4700155,6.8,27.3
1763779489.486034,9.5,27.3
1763779490.48691,5.6,27.3
1763779491.490099,5.8,27.3
1763779492.502582,5.7,27.3
1763779493.5112953,5.7,27.3
1763779494.518557,6.1,27.3
1763779495.5339415,7.4,27.3
1763779496.5406141,5.7,27.3
1763779497.541045,6.1,27.2
1763779498.543654,5.5,27.2
1763779499.557461,5.9,27.2
1763779500.5737605,6.5,27.2
1763779501.5845478,5.9,27.2
1763779502.5985515,6.7,27.2
1763779503.6020913,6.6,27.2
1763779504.608427,6.4,27.2
1763779505.6110134,7.4,27.2
1763779506.6202781,7.0,27.2
1763779507.629059,5.0,27.2
1763779508.6372705,5.3,27.2
1763779509.6420765,5.9,27.2
1763779510.6526165,6.1,27.2
1763779511.657475,5.8,27.2
1763779512.6600142,7.1,27.2
1763779513.6680748,7.0,27.2
1763779514.6746325,5.5,27.2
1763779515.6805208,6.0,27.2
1763779516.6842399,5.8,27.2
1763779517.689467,7.5,27.3
1763779518.698337,6.7,27.3
1763779519.7055514,8.1,27.2
1763779520.7139204,7.5,27.3
1763779521.7145767,7.9,27.3
1763779522.7215996,5.2,27.3
1763779523.736903,5.4,27.3
1763779524.7453947,5.5,27.3
1763779525.7579017,6.2,27.3
1763779526.7583294,5.0,27.3
1763779527.7642348,5.4,27.2
1763779528.7813148,8.6,27.2
1763779529.783653,5.9,27.2
1763779530.7915552,5.8,27.2
1763779531.796096,6.8,27.2
1763779532.8134341,8.9,27.2
1763779533.8187373,5.5,27.2
1763779534.8292708,5.5,27.2
1763779535.8343806,5.8,27.2
1763779536.840482,6.0,27.2
1763779537.840827,7.1,27.2
1763779538.8495188,7.6,27.2
1763779539.865967,6.7,27.2
1763779540.8778863,6.5,27.3
1763779541.8832183,5.7,27.3
1763779542.8897078,6.4,27.3
1763779543.8994076,7.2,27.3
1763779544.9109964,5.0,27.2
1763779545.918485,5.5,27.2
1763779546.9245214,7.2,27.3
1763779547.9314656,5.6,27.2
1763779548.9396827,6.7,27.2
1763779549.9428773,5.3,27.2
1763779550.9479866,5.9,27.2
1763779551.9551747,6.4,27.2
1763779552.9566514,5.2,27.2
1763779553.9573953,5.2,27.2
1763779554.9668355,5.3,27.2
1763779555.9708257,8.2,27.2
1763779556.9746776,5.4,27.2
1763779557.9757793,5.9,27.2
1763779558.9786317,6.3,27.2
1763779559.98162,6.2,27.2
1763779560.9822018,5.3,27.2
1763779561.9896367,6.4,27.2
1763779562.991358,5.2,27.2
1763779563.998505,5.2,27.2
1763779565.0138946,5.3,27.2
1763779566.015178,6.4,27.2
1763779567.0167816,8.0,27.2
1763779568.029886,6.6,27.2
1763779569.03988,5.5,27.2
1763779570.0429413,5.9,27.2
1763779571.0433583,7.1,27.2
1763779572.0510206,6.4,27.2
1763779573.0636244,5.9,27.2
1763779574.0646603,6.4,27.2
1763779575.0710235,4.8,27.2
1763779576.0841935,5.9,27.2
1763779577.085475,6.5,27.2
1763779578.103207,6.4,27.2
1763779579.106117,6.3,27.3
1763779580.1069403,6.4,27.3
1763779581.1165435,4.6,27.3
1763779582.131832,6.2,27.2
1763779583.1454237,5.7,27.3
1763779584.150103,5.4,27.3
1763779585.1684895,5.9,27.3
1763779586.1694782,7.3,27.3
1763779587.1811843,5.3,27.3
1763779588.1876721,5.5,27.3
1763779589.2001972,5.8,27.2
1763779590.2013395,6.8,27.2
1763779591.2118258,5.8,27.2
1763779592.2131464,6.0,27.2
1763779593.2262278,7.1,27.2
1763779594.226891,6.5,27.2
1763779595.2384138,5.4,27.2
1763779596.241603,6.2,27.2
1763779597.2478118,6.4,27.2
1763779598.2492907,7.6,27.2
1763779599.263183,6.8,27.2
1763779600.264448,6.3,27.2
1763779601.2737937,6.8,27.3
1763779602.2742736,5.6,27.3
1763779603.278047,6.4,27.3
1763779604.2832215,6.2,27.3
1763779605.2997096,6.4,27.3
1763779606.3014967,6.0,27.3
1763779607.3060236,8.0,27.3
1763779608.317365,6.0,27.3
1763779609.3209476,6.2,27.3
1763779610.3218377,5.9,27.3
1763779611.3324084,7.2,27.3
1763779612.3369932,5.5,27.3
1763779613.3377979,7.1,27.3
1763779614.3517241,6.0,27.3
1763779615.35356,6.3,27.3
1763779616.36088,7.4,27.3
1763779617.3717468,5.3,27.3
1763779618.375611,6.4,27.3
1763779619.381408,7.9,27.2
1763779620.3852127,6.4,27.2
1763779621.4006386,5.3,27.2
1763779622.4152162,5.4,27.2
1763779623.4163296,7.4,27.2
1763779624.416943,6.3,27.2
1763779625.4259102,5.9,27.2
1763779626.4373276,5.9,27.2
1763779627.447648,6.7,27.2
1763779628.4545815,6.3,27.2
1763779629.462253,6.2,27.2
1763779630.4679813,6.1,27.2
1763779631.47475,5.9,27.2
1763779632.4836552,6.0,27.2
1763779633.492046,5.9,27.2
1763779634.5003908,5.8,27.2
1763779635.5054283,7.0,27.2
1763779636.5194337,6.9,27.2
1763779637.524995,5.2,27.2
1763779638.5349958,5.9,27.2
1763779639.5421445,6.1,27.2
1763779640.5501356,5.7,27.2
1763779641.5539591,5.5,27.2
1763779642.5614166,8.2,27.2
1763779643.566002,5.9,27.2
1763779644.5728157,6.2,27.2
1763779645.582798,6.0,27.2
1763779646.5861301,7.1,27.2
1763779647.6037078,6.6,27.2
1763779648.6042106,5.4,27.2
1763779649.6192274,6.5,27.2
1763779650.626393,5.6,27.2
1763779651.6271088,7.8,27.2
1763779652.638241,5.6,27.2
1763779653.641836,5.8,27.2
1763779654.6431506,5.8,27.2
1763779655.6551697,5.4,27.2
1763779656.665626,6.3,27.2
1763779657.683639,5.2,27.2
1763779658.6944575,5.9,27.2
1763779659.7044697,9.2,27.2
1763779660.7076888,5.6,27.2
1763779661.7111516,5.9,27.3
1763779662.7143543,5.9,27.3
1763779663.7151425,5.7,27.3
1763779664.7223268,7.5,27.3
1763779665.7281172,6.7,27.3
1763779666.730022,5.8,27.3
1763779667.730906,5.2,27.3
1763779668.737852,6.9,27.3
1763779669.7404552,8.4,27.3
1763779670.7512789,6.9,27.3
1763779671.7585194,5.9,27.3
1763779672.764972,6.6,27.3
1763779673.7677212,7.2,27.3
1763779674.7730885,6.7,27.3
1763779675.786433,6.1,27.3
1763779676.7886238,6.5,27.3
1763779677.7960708,7.8,27.3
1763779678.7966888,5.9,27.3
1763779679.8016033,6.5,27.3
1763779680.8058908,5.6,27.2
1763779681.8071406,5.9,27.2
1763779682.8121321,7.4,27.2
1763779683.819425,7.9,27.2
1763779684.8286016,7.8,27.2
1763779685.8345509,7.5,27.2
1763779686.8477514,5.5,27.2
1763779687.8534157,5.9,27.2
1763779688.8542752,5.7,27.2
1763779689.8655474,5.6,27.2
1763779690.8672986,6.6,27.2
1763779691.8741858,5.5,27.2
1763779692.8769498,6.5,27.2
1763779693.8780882,8.6,27.2
1763779694.8944192,6.0,27.2
1763779695.9020717,6.0,27.2
1763779696.9060407,7.8,27.2
1763779697.907229,6.5,27.2
1763779698.9199343,9.4,27.2
1763779699.9307988,5.7,27.2
1763779700.9312882,5.6,27.2
1763779701.9411914,6.4,27.2
1763779702.9488685,5.6,27.2
1763779703.9536157,5.6,27.2
1763779704.9614127,6.0,27.2
1763779705.9712489,6.5,27.2
1763779706.9721627,6.6,27.2
1763779707.9780262,6.9,27.2
1763779708.9889803,6.5,27.2
1763779709.996112,5.4,27.2
1763779711.0033543,6.6,27.2
1763779712.004006,5.3,27.2
1763779713.0224643,5.5,27.2
1763779714.0336397,6.1,27.2
1763779715.0349276,8.7,27.2
1763779716.0427027,6.7,27.3
1763779717.044405,7.3,27.3
1763779718.0448427,6.0,27.3
1763779719.0451303,8.6,27.3
1763779720.0463936,6.0,27.3
1763779721.0482333,7.7,27.3
1763779722.0563645,6.0,27.3
1763779723.0597937,5.6,27.3
1763779724.0722592,7.4,27.3
1763779725.0727723,7.5,27.3
1763779726.0804682,8.1,27.3
1763779727.0809152,6.1,27.3
1763779728.084404,6.0,27.3
1763779729.0849369,6.7,27.3
1763779730.0914276,7.7,27.3
1763779731.1002717,5.9,27.3
1763779732.1009438,6.4,27.3
1763779733.111038,7.7,27.3
1763779734.1175122,5.7,27.3
1763779735.1186101,5.8,27.3
1763779736.1245596,5.5,27.3
1763779737.1354356,7.7,27.3
1763779738.1464956,5.5,27.3
1763779739.147003,5.7,27.3
1763779740.1579204,6.6,27.3
1763779741.1653316,5.9,27.2
1763779742.16616,8.6,27.2
1763779743.1711204,6.2,27.2
1763779744.176644,6.8,27.2
1763779745.182462,5.7,27.2
1763779746.1974027,6.4,27.2
1763779747.2116747,5.9,27.2
1763779748.2215858,6.6,27.2
1763779749.2359657,6.5,27.2
1763779750.2435207,5.4,27.2
1763779751.2440507,6.5,27.2
1763779752.2551541,7.5,27.2
1763779753.262696,9.3,27.2
1763779754.265469,6.9,27.3
1763779755.267245,5.6,27.2
1763779756.2684512,5.5,27.2
1763779757.27939,7.5,27.2
1763779758.2902036,7.0,27.3
1763779759.305849,6.3,27.3
1763779760.3079002,6.0,27.3
1763779761.3124352,7.5,27.3
1763779762.3174565,6.7,27.3
1763779763.3241158,6.3,27.3
1763779764.3267343,6.9,27.3
1763779765.3301902,6.9,27.3
1763779766.3309815,5.5,27.3
1763779767.3344998,6.7,27.3
1763779768.3383162,6.9,27.3
1763779769.3407407,8.1,27.3
1763779770.3435252,5.5,27.3
1763779771.345955,5.7,27.3
1763779772.3489404,6.9,27.3
1763779773.349941,6.1,27.3
1763779774.3537645,5.3,27.3
1763779775.361147,5.9,27.2
1763779776.3627992,6.6,27.2
1763779777.3630927,6.0,27.2
1763779778.3704588,6.7,27.2
1763779779.3779514,6.7,27.2
1763779780.3788686,7.7,27.2
1763779781.387646,7.9,27.3
1763779782.391726,7.0,27.3
1763779783.393471,7.4,27.3
1763779784.4008014,5.3,27.3
1763779785.4072409,5.3,27.3
1763779786.4167883,5.6,27.3
1763779787.4249191,6.5,27.3
1763779788.4356127,7.1,27.3
1763779789.4361129,5.2,27.3
1763779790.4367251,5.6,27.3
1763779791.4425852,8.1,27.2
1763779792.449091,6.1,27.2
1763779793.4590366,7.7,27.2
1763779794.4697473,6.1,27.2
1763779795.470466,5.9,27.2
1763779796.4787147,6.3,27.2
1763779797.4873645,6.6,27.2
1763779798.4981399,8.5,27.2
1763779799.502265,6.8,27.2
1763779800.5069337,6.1,27.2
1763779801.5104325,6.8,27.2
1763779802.5111227,5.5,27.2
1763779803.5210555,6.6,27.2
1763779804.521748,6.9,27.2
1763779805.525673,5.4,27.2
1763779806.5292938,5.6,27.2
1763779807.5321715,7.6,27.2
1763779808.5389807,8.2,27.2
1763779809.5397274,6.6,27.2
1763779810.5456665,5.8,27.2
1763779811.5547755,5.5,27.2
1763779812.5565665,5.5,27.2
1763779813.5661464,5.7,27.2
1763779814.5771763,6.0,27.2
1763779815.58287,5.5,27.2
1763779816.5840392,5.2,27.2
1763779817.5875936,6.6,27.2
1763779818.590123,8.2,27.2
1763779819.5998209,7.0,27.2
1763779820.607745,5.0,27.2
1763779821.6185706,5.3,27.2
1763779822.619684,5.5,27.2
1763779823.6385741,5.0,27.2
1763779824.6489074,6.0,27.2
1763779825.656077,6.3,27.2
1763779826.6627994,5.9,27.2
1763779827.6649325,6.6,27.2
1763779828.6710005,5.9,27.2
1763779829.676742,6.3,27.2
1763779830.678318,5.9,27.2
1763779831.6853263,5.2,27.2
1763779832.6890068,5.5,27.2
1763779833.690271,5.5,27.2
1763779834.693182,6.3,27.2
1763779835.701978,6.5,27.2
1763779836.7078588,5.3,27.2
1763779837.728596,5.7,27.2
1763779838.7368796,6.3,27.2
1763779839.740473,9.2,27.2
1763779840.7444584,10.5,27.3
1763779841.7490885,9.8,27.3
1763779842.754605,7.6,27.3
1763779843.7566326,8.3,27.3
1763779844.7569435,9.8,27.3
1763779845.7589526,9.3,27.3
1763779846.7651007,8.3,27.3
1763779847.7663262,7.6,27.3
1763779848.7743762,8.8,27.3
1763779849.780884,8.9,27.3
1763779850.7845278,9.0,27.3
1763779851.786053,8.5,27.3
1763779852.7984014,7.3,27.3
1763779853.7988698,6.0,27.3
1763779854.8022587,8.7,27.3
1763779855.8040516,11.0,27.3
1763779856.812995,5.1,27.3
1763779857.816452,6.6,27.2
1763779858.8185916,5.7,27.2
1763779859.833573,5.1,27.2
1763779860.836614,6.7,27.2
1763779861.847626,5.9,27.2
1763779862.8481362,6.9,27.2
1763779863.8516428,7.4,27.2
1763779864.8544598,6.3,27.2
1763779865.8605998,5.9,27.2
1763779866.8686962,5.6,27.2
1763779867.876153,6.5,27.2
1763779868.8816338,5.5,27.2
1763779869.8894675,5.5,27.2
1763779870.891675,6.5,27.2
1763779871.8938258,6.4,27.2
1763779872.895791,6.6,27.2
1763779873.9026153,7.1,27.2
1763779874.9069157,5.8,27.2
1763779875.9297528,6.1,27.2
1763779876.9317517,5.3,27.2
1763779877.9329112,8.0,27.2
1763779878.9376469,5.7,27.2
1763779879.9427488,6.3,27.2
1763779880.9494326,6.4,27.2
1763779881.949833,7.6,27.2
1763779882.9523647,5.9,27.2
1763779883.96129,6.3,27.2
