Date,HSIF_close,USDCNH_close,HSIF_return,USDCNH_return,T-0_USDCNH_return,T-1_USDCNH_return,T-2_USDCNH_return,T-3_USDCNH_return,4_days_USDCNH_return,T+1_HSIF_return,signal,strategy_return,position
2010-09-01,14367,6.785,,,,,,,,0.01747059232964432,0,0.0,0
2010-09-02,14618,6.7805,0.01747059232964432,-0.0006632277081798366,-0.0006632277081798366,,,,,0.007524969216035071,0,0.0,0
2010-09-03,14728,6.773,0.007524969216035071,-0.001106113118501617,-0.001106113118501617,-0.0006632277081798366,,,,0.01738185768604028,0,0.0,0
2010-09-06,14984,6.7645,0.01738185768604028,-0.0012549830208179458,-0.0012549830208179458,-0.001106113118501617,-0.0006632277081798366,,,0.0007341163908167747,0,0.0,0
2010-09-07,14995,6.773,0.0007341163908167747,0.0012565599822602636,0.0012565599822602636,-0.0012549830208179458,-0.001106113118501617,-0.0006632277081798366,-0.0017686072218129345,-0.015805268422807606,0,-0.0,0
2010-09-08,14758,6.775,-0.015805268422807606,0.0002952901225454774,0.0002952901225454774,0.0012565599822602636,-0.0012549830208179458,-0.001106113118501617,-0.0008111496202344304,0.008198942946198606,0,0.0,0
2010-09-09,14879,6.774,0.008198942946198606,-0.00014760147601478035,-0.00014760147601478035,0.0002952901225454774,0.0012565599822602636,-0.0012549830208179458,0.0001476450612727387,-0.00020162645339072416,0,-0.0,0
2010-09-10,14876,6.765,-0.00020162645339072416,-0.0013286093888397188,-0.0013286093888397188,-0.00014760147601478035,0.0002952901225454774,0.0012565599822602636,7.391529307398947e-05,0.024536165635923535,0,0.0,0
2010-09-13,15241,6.754,0.024536165635923535,-0.001626016260162566,-0.001626016260162566,-0.0013286093888397188,-0.00014760147601478035,0.0002952901225454774,-0.002805256164181369,-0.0012466373597532776,0,-0.0,0
2010-09-14,15222,6.74,-0.0012466373597532776,-0.0020728457210540396,-0.0020728457210540396,-0.001626016260162566,-0.0013286093888397188,-0.00014760147601478035,-0.005166051660516646,0.004138746551044514,1,0.003938746551044515,1
2010-09-15,15285,6.735,0.004138746551044514,-0.0007418397626112183,-0.0007418397626112183,-0.0020728457210540396,-0.001626016260162566,-0.0013286093888397188,-0.005757307351638596,-0.001962708537782132,1,-0.002162708537782132,1
2010-09-16,15255,6.726,-0.001962708537782132,-0.0013363028953229383,-0.0013363028953229383,-0.0007418397626112183,-0.0020728457210540396,-0.001626016260162566,-0.0057649667405764715,0.011864962307440274,1,0.011664962307440274,1
2010-09-17,15436,6.7035,0.011864962307440274,-0.003345227475468282,-0.003345227475468282,-0.0013363028953229383,-0.0007418397626112183,-0.0020728457210540396,-0.00747705063665971,-0.0016843741902047293,1,-0.0018843741902047294,1
2010-09-20,15410,6.7,-0.0016843741902047293,-0.0005221153128962541,-0.0005221153128962541,-0.003345227475468282,-0.0013363028953229383,-0.0007418397626112183,-0.005934718100890191,0.00454250486696961,1,0.00434250486696961,1
2010-09-21,15480,6.64,0.00454250486696961,-0.008955223880597107,-0.008955223880597107,-0.0005221153128962541,-0.003345227475468282,-0.0013363028953229383,-0.014105419450631151,-0.0014211886304910104,1,-0.0016211886304910105,1
2010-09-22,15458,6.635,-0.0014211886304910104,-0.0007530120481927804,-0.0007530120481927804,-0.008955223880597107,-0.0005221153128962541,-0.003345227475468282,-0.013529586678560857,0.0,1,-0.0002,1
2010-09-23,15458,6.635,0.0,0.0,0.0,-0.0007530120481927804,-0.008955223880597107,-0.0005221153128962541,-0.010218542552398069,0.008280502005434176,0,0.0,1
2010-09-24,15586,6.625,0.008280502005434176,-0.0015071590052749828,-0.0015071590052749828,0.0,-0.0007530120481927804,-0.008955223880597107,-0.011194029850746245,0.00667265494674707,0,0.0,1
2010-09-27,15690,6.62,0.00667265494674707,-0.0007547169811320531,-0.0007547169811320531,-0.0015071590052749828,0.0,-0.0007530120481927804,-0.0030120481927710108,-0.0106437221159974,0,-0.0,1
2010-09-28,15523,6.615,-0.0106437221159974,-0.0007552870090634656,-0.0007552870090634656,-0.0007547169811320531,-0.0015071590052749828,0.0,-0.0030143180105500766,0.011788958319912446,0,0.0,1
2010-09-29,15706,6.623,0.011788958319912446,0.0012093726379440728,0.0012093726379440728,-0.0007552870090634656,-0.0007547169811320531,-0.0015071590052749828,-0.0018085908063300016,-0.0008277091557367111,0,-0.0,1
2010-09-30,15693,6.623,-0.0008277091557367111,0.0,0.0,0.0012093726379440728,-0.0007552870090634656,-0.0007547169811320531,-0.00030188679245279904,0.0,0,0.0,1
2010-10-01,15693,6.623,0.0,0.0,0.0,0.0,0.0012093726379440728,-0.0007552870090634656,0.00045317220543816816,0.013509207927101308,0,0.0,1
2010-10-04,15905,6.6155,0.013509207927101308,-0.001132417333534641,-0.001132417333534641,0.0,0.0,0.0012093726379440728,7.558578987154618e-05,0.0030807922037094926,0,0.0,1
2010-10-05,15954,6.611,0.0030807922037094926,-0.0006802206938251176,-0.0006802206938251176,-0.001132417333534641,0.0,0.0,-0.0018118677336554923,0.009715431866616608,0,0.0,1
2010-10-06,16109,6.585,0.009715431866616608,-0.003932839207381633,-0.003932839207381633,-0.0006802206938251176,-0.001132417333534641,0.0,-0.005737581156575633,0.0021106213917685412,0,0.0,1
2010-10-07,16143,6.5655,0.0021106213917685412,-0.002961275626423676,-0.002961275626423676,-0.003932839207381633,-0.0006802206938251176,-0.001132417333534641,-0.008681866223765655,-0.00340704949513726,1,-0.00360704949513726,1
2010-10-08,16088,6.5645,-0.00340704949513726,-0.00015231132434700978,-0.00015231132434700978,-0.002961275626423676,-0.003932839207381633,-0.0006802206938251176,-0.007709167863351296,0.0170313276976628,1,0.016831327697662803,1
2010-10-11,16362,6.535,0.0170313276976628,-0.004493868535303425,-0.004493868535303425,-0.00015231132434700978,-0.002961275626423676,-0.003932839207381633,-0.01149599152926939,-0.006661777288839987,1,-0.006861777288839987,1
2010-10-12,16253,6.541,-0.006661777288839987,0.0009181331293037776,0.0009181331293037776,-0.004493868535303425,-0.00015231132434700978,-0.002961275626423676,-0.006681852695520019,0.019688672860395107,0,0.0,1
2010-10-13,16573,6.5305,0.019688672860395107,-0.0016052591346888967,-0.0016052591346888967,0.0009181331293037776,-0.004493868535303425,-0.00015231132434700978,-0.005330896352143788,0.012429855789537259,0,0.0,1
2010-10-14,16779,6.5055,0.012429855789537259,-0.0038281907970293405,-0.0038281907970293405,-0.0016052591346888967,0.0009181331293037776,-0.004493868535303425,-0.008987737070607071,-0.0057214375111747096,0,-0.0,1
2010-10-15,16683,6.503,-0.0057214375111747096,-0.0003842902159709727,-0.0003842902159709727,-0.0038281907970293405,-0.0016052591346888967,0.0009181331293037776,-0.004896710022953332,-0.010489720074327136,0,-0.0,1
2010-10-18,16508,6.4745,-0.010489720074327136,-0.004382592649546435,-0.004382592649546435,-0.0003842902159709727,-0.0038281907970293405,-0.0016052591346888967,-0.010166641186363012,0.013690331960261704,1,0.013490331960261703,1
2010-10-19,16734,6.4745,0.013690331960261704,0.0,0.0,-0.004382592649546435,-0.0003842902159709727,-0.0038281907970293405,-0.008575147385345705,-0.010756543564001464,0,-0.0,1
2010-10-20,16554,6.5045,-0.010756543564001464,0.004633562437253991,0.004633562437253991,0.0,-0.004382592649546435,-0.0003842902159709727,-0.00015371608638836687,0.004832668841367571,0,0.0,1
2010-10-21,16634,6.5205,0.004832668841367571,0.0024598354985010396,0.0024598354985010396,0.004633562437253991,0.0,-0.004382592649546435,0.0026910656620020568,-0.0076950823614283514,0,-0.0,1
2010-10-22,16506,6.563,-0.0076950823614283514,0.0065179050686297035,0.0065179050686297035,0.0024598354985010396,0.004633562437253991,0.0,0.013669009189898773,0.00945110868775001,0,0.0,1
2010-10-25,16662,6.58,0.00945110868775001,0.002590278835898241,0.002590278835898241,0.0065179050686297035,0.0024598354985010396,0.004633562437253991,0.016294694571009405,-0.003841075501140323,-1,0.003641075501140323,-1
2010-10-26,16598,6.6005,-0.003841075501140323,0.0031155015197568137,0.0031155015197568137,0.002590278835898241,0.0065179050686297035,0.0024598354985010396,0.014759012991006237,-0.02150861549584282,-1,0.02130861549584282,-1
2010-10-27,16241,6.63,-0.02150861549584282,0.004469358381940625,0.004469358381940625,0.0031155015197568137,0.002590278835898241,0.0065179050686297035,0.016793190706234196,0.004186934302075063,-1,-0.004386934302075062,-1
2010-10-28,16309,6.6285,0.004186934302075063,-0.0002262443438914019,-0.0002262443438914019,0.004469358381940625,0.0031155015197568137,0.002590278835898241,0.009980191985372588,-0.006008952112330657,0,-0.0,-1
2010-10-29,16211,6.5805,-0.006008952112330657,-0.007241457343290292,-0.007241457343290292,-0.0002262443438914019,0.004469358381940625,0.0031155015197568137,7.598784194517982e-05,0.028869286287088958,0,0.0,-1
2010-11-01,16679,6.5815,0.028869286287088958,0.00015196413646378915,0.00015196413646378915,-0.007241457343290292,-0.0002262443438914019,0.004469358381940625,-0.0028785698053177544,0.001738713352119392,0,0.0,-1
2010-11-02,16708,6.609,0.001738713352119392,0.004178378789029935,0.004178378789029935,0.00015196413646378915,-0.007241457343290292,-0.0002262443438914019,-0.0031674208144796268,0.01633947809432601,0,0.0,-1
2010-11-03,16981,6.5895,0.01633947809432601,-0.0029505220154334433,-0.0029505220154334433,0.004178378789029935,0.00015196413646378915,-0.007241457343290292,-0.005883684091423369,0.01949237382957425,0,0.0,-1
2010-11-04,17312,6.57,0.01949237382957425,-0.0029592533576143776,-0.0029592533576143776,-0.0029505220154334433,0.004178378789029935,0.00015196413646378915,-0.001595623432869786,0.010397412199630418,0,0.0,-1
2010-11-05,17492,6.5785,0.010397412199630418,0.0012937595129376422,0.0012937595129376422,-0.0029592533576143776,-0.0029505220154334433,0.004178378789029935,-0.00045582314062142526,0.0036016464669563764,0,0.0,-1
2010-11-08,17555,6.6255,0.0036016464669563764,0.007144485825036018,0.007144485825036018,0.0012937595129376422,-0.0029592533576143776,-0.0029505220154334433,0.0024965955515205973,-0.00774708060381657,0,-0.0,-1
2010-11-09,17419,6.602,-0.00774708060381657,-0.0035469021205946083,-0.0035469021205946083,0.007144485825036018,0.0012937595129376422,-0.0029592533576143776,0.0018969572805220825,-0.011252081060910468,0,-0.0,-1
2010-11-10,17223,6.6085,-0.011252081060910468,0.0009845501363223708,0.0009845501363223708,-0.0035469021205946083,0.007144485825036018,0.0012937595129376422,0.005859969558599687,0.011786564477733297,0,0.0,-1
2010-11-11,17426,6.603,0.011786564477733297,-0.0008322614814255669,-0.0008322614814255669,0.0009845501363223708,-0.0035469021205946083,0.007144485825036018,0.003724253249220988,-0.02060140020658785,0,-0.0,-1
2010-11-12,17067,6.6165,-0.02060140020658785,0.0020445252158109994,0.0020445252158109994,-0.0008322614814255669,0.0009845501363223708,-0.0035469021205946083,-0.001358388046185155,-0.009550594714947014,0,-0.0,-1
2010-11-15,16904,6.6225,-0.009550594714947014,0.0009068238494671643,0.0009068238494671643,0.0020445252158109994,-0.0008322614814255669,0.0009845501363223708,0.0031051196607088105,-0.015026029342167568,0,-0.0,-1
2010-11-16,16650,6.6115,-0.015026029342167568,-0.0016610041525102481,-0.0016610041525102481,0.0009068238494671643,0.0020445252158109994,-0.0008322614814255669,0.00045396080805026884,-0.017837837837837878,0,-0.0,-1
2010-11-17,16353,6.6025,-0.017837837837837878,-0.0013612644634349857,-0.0013612644634349857,-0.0016610041525102481,0.0009068238494671643,0.0020445252158109994,-7.572315614112757e-05,0.015654619947410353,0,0.0,-1
2010-11-18,16609,6.5885,0.015654619947410353,-0.002120408936009177,-0.002120408936009177,-0.0013612644634349857,-0.0016610041525102481,0.0009068238494671643,-0.004231844630847248,0.004696249021614696,0,0.0,-1
2010-11-19,16687,6.5865,0.004696249021614696,-0.0003035592319950986,-0.0003035592319950986,-0.002120408936009177,-0.0013612644634349857,-0.0016610041525102481,-0.005436013590033872,-0.0030562713489542537,1,-0.0032562713489542538,1
2010-11-22,16636,6.5995,-0.0030562713489542537,0.0019737341531920194,0.0019737341531920194,-0.0003035592319950986,-0.002120408936009177,-0.0013612644634349857,-0.001815019284579944,-0.026508776148112534,0,-0.0,1
2010-11-23,16195,6.6245,-0.026508776148112534,0.0037881657701341886,0.0037881657701341886,0.0019737341531920194,-0.0003035592319950986,-0.002120408936009177,0.003332071185157215,-0.0009262117937635095,0,-0.0,1
2010-11-24,16180,6.6265,-0.0009262117937635095,0.00030190957808140517,0.00030190957808140517,0.0037881657701341886,0.0019737341531920194,-0.0003035592319950986,0.005767625407907762,0.004758961681087692,0,0.0,1
2010-11-25,16257,6.6295,0.004758961681087692,0.0004527276842978267,0.0004527276842978267,0.00030190957808140517,0.0037881657701341886,0.0019737341531920194,0.006528505275943175,-0.0077505074737036495,-1,0.00755050747370365,-1
2010-11-26,16131,6.6485,-0.0077505074737036495,0.0028659778263822044,0.0028659778263822044,0.0004527276842978267,0.00030190957808140517,0.0037881657701341886,0.0074248049094629565,0.002293720166139712,-1,-0.0024937201661397123,-1
