end_of_date,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total,data_type,source
2023-12-22,593585,13176,44886,44886,1243790,1179175,1179175,1895437,monetary_base,HKMA
2023-12-21,588875,13176,44886,45591,1243641,1178368,1177662,1890578,monetary_base,HKMA
2023-12-20,585755,13176,44886,44886,1243544,1178838,1178838,1887361,monetary_base,HKMA
2023-12-19,584265,13173,44859,44859,1243197,1177907,1177907,1885494,monetary_base,HKMA
2023-12-18,584495,13167,44859,44859,1243001,1177957,1177957,1885522,monetary_base,HKMA
2023-12-15,586695,13157,44859,45158,1242898,1177783,1177483,1887609,monetary_base,HKMA
2023-12-14,582015,13153,44859,44859,1242831,1178347,1178347,1882858,monetary_base,HKMA
2023-12-13,581815,13146,44859,44859,1242379,1177029,1177029,1882199,monetary_base,HKMA
2023-12-12,582925,13133,44868,44868,1242121,1179174,1179174,1883047,monetary_base,HKMA
2023-12-11,584625,13132,44868,44868,1241752,1178324,1178324,1884377,monetary_base,HKMA
2023-12-08,586705,13123,44868,44868,1241289,1177708,1177708,1885985,monetary_base,HKMA
2023-12-07,581975,13123,44855,44896,1241024,1177683,1177642,1880977,monetary_base,HKMA
2023-12-06,581605,13116,44855,48325,1240994,1177148,1174127,1880570,monetary_base,HKMA
2023-12-05,581475,13109,45025,45025,1240775,1173023,1173023,1880384,monetary_base,HKMA
2023-12-04,583205,13109,45025,45025,1240276,1172773,1172773,1881615,monetary_base,HKMA
2023-12-01,585285,13109,44999,44999,1239702,1171445,1171445,1883095,monetary_base,HKMA
2023-11-30,580975,13109,44999,47999,1239319,1172688,1169626,1878402,monetary_base,HKMA
2023-11-29,579855,13106,44999,44999,1238870,1174048,1174048,1876830,monetary_base,HKMA
2023-11-28,580095,13099,45295,45295,1238151,1172259,1172259,1876640,monetary_base,HKMA
2023-11-27,581405,13097,45293,45293,1237925,1171994,1171994,1877720,monetary_base,HKMA
2023-11-24,583005,13096,45281,45281,1237598,1172693,1172693,1878980,monetary_base,HKMA
2023-11-23,578985,13094,45255,45255,1237448,1173207,1173207,1874782,monetary_base,HKMA
2023-11-22,578625,13094,45213,46118,1237321,1173312,1172403,1874253,monetary_base,HKMA
2023-11-21,579585,13094,45073,45073,1237298,1170625,1170625,1875050,monetary_base,HKMA
2023-11-20,580635,13089,45073,45073,1237222,1172591,1172591,1876019,monetary_base,HKMA
2023-11-17,582775,13080,45063,45063,1236859,1171081,1171081,1877777,monetary_base,HKMA
2023-11-16,578825,13082,45063,45063,1236870,1174396,1174396,1873840,monetary_base,HKMA
2023-11-15,579305,13082,45063,45063,1236685,1175677,1175677,1874135,monetary_base,HKMA
2023-11-14,580245,13082,44942,44942,1236524,1176571,1176571,1874793,monetary_base,HKMA
2023-11-13,581955,13082,44942,44942,1236425,1177144,1177144,1876404,monetary_base,HKMA
