end_of_date,Unnamed: 0,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
2002-01-23,6111.0,7.8,,3.25,1.81,1.81027,106.2,869.0,364.0,0.0,-43.0,-482.0,20.0,14332.0,16493.0,24296.0,30122.0,32712.0,37329.0,0.0,,,0.0,344.0,0.0,,,20.0,364.0,0.0,,,50.0,414.0,,,,,,0.0,,,-141.0,273.0
2002-01-24,6110.0,7.8,,3.25,1.81,1.84598,106.3,364.0,344.0,0.0,0.0,-20.0,0.0,15258.0,15818.0,24543.0,31138.0,34236.0,34559.0,0.0,,,30.0,374.0,0.0,,,50.0,424.0,0.0,,,20.0,445.0,,,,,,0.0,,,-171.0,273.0
2002-01-25,6109.0,7.8,,3.25,1.94,1.94866,106.3,344.0,374.0,0.0,30.0,0.0,0.0,14209.0,14648.0,23214.0,30155.0,31723.0,32909.0,0.0,,,50.0,424.0,0.0,,,20.0,445.0,0.0,,,-124.0,321.0,,,,,,0.0,,,-47.0,273.0
2002-01-26,6108.0,7.8,,3.25,1.94,1.94866,106.5,374.0,409.0,0.0,0.0,0.0,35.0,946.0,1664.0,2625.0,2598.0,31723.0,32909.0,0.0,,,50.0,424.0,0.0,,,20.0,445.0,0.0,,,-124.0,321.0,,,,,,0.0,,,-47.0,273.0
2002-01-27,6108.0,7.8,,3.25,1.94,1.94866,106.5,374.0,409.0,0.0,0.0,0.0,35.0,946.0,1664.0,2625.0,2598.0,31723.0,32909.0,0.0,,,50.0,424.0,0.0,,,20.0,445.0,0.0,,,-124.0,321.0,,,,,,0.0,,,-47.0,273.0
2002-01-28,6107.0,7.8,,3.25,1.94,1.93527,106.4,409.0,446.0,0.0,50.0,-35.0,22.0,3927.0,21257.0,27835.0,34279.0,37624.0,37265.0,0.0,,,20.0,445.0,0.0,,,-124.0,321.0,0.0,,,0.0,321.0,,,,,,0.0,,,-47.0,273.0
2002-01-29,6106.0,7.8,,3.25,1.94,1.9375,106.4,446.0,445.0,0.0,20.0,-22.0,0.0,12470.0,17005.0,23845.0,31850.0,33482.0,31930.0,0.0,,,-125.0,320.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,,,,,,0.0,,,-47.0,273.0
2002-01-30,6105.0,7.8,,3.25,2.0,1.93527,106.3,445.0,384.0,0.0,-125.0,0.0,64.0,11025.0,12613.0,27561.0,35158.0,40879.0,41563.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,,,,,,0.0,,,-47.0,273.0
2002-01-31,6104.0,7.8,,3.25,2.13,1.97991,106.4,384.0,495.0,0.0,0.0,-64.0,176.0,5122.0,18680.0,25693.0,32842.0,34464.0,36595.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,,,,,,0.0,,,-47.0,273.0
2002-02-01,6103.0,7.8,,3.25,1.88,1.95536,106.6,495.0,414.0,0.0,0.0,-176.0,94.0,9683.0,10509.0,19930.0,25467.0,25925.0,25335.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,0.0,,,-23.0,297.0,,,,,,0.0,,,-24.0,273.0
2002-02-02,6102.0,7.8,,3.25,1.88,1.95536,106.4,414.0,394.0,0.0,0.0,-94.0,74.0,614.0,2229.0,2455.0,2526.0,25925.0,25335.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,0.0,,,-23.0,297.0,,,,,,0.0,,,-24.0,273.0
2002-02-03,6102.0,7.8,,3.25,1.88,1.95536,106.4,414.0,394.0,0.0,0.0,-94.0,74.0,614.0,2229.0,2455.0,2526.0,25925.0,25335.0,0.0,,,0.0,320.0,0.0,,,0.0,320.0,0.0,,,-23.0,297.0,,,,,,0.0,,,-24.0,273.0
2002-02-04,6101.0,7.8,,3.25,1.81,1.88839,106.4,394.0,340.0,0.0,0.0,-75.0,20.0,16666.0,20498.0,30166.0,36350.0,41348.0,41016.0,0.0,,,0.0,320.0,0.0,,,-23.0,297.0,0.0,,,0.0,297.0,,,,,,0.0,,,-24.0,273.0
2002-02-05,6100.0,7.8,,3.25,1.81,1.86384,106.2,340.0,320.0,0.0,0.0,-20.0,0.0,11791.0,15676.0,23118.0,32126.0,32916.0,35715.0,0.0,,,-25.0,296.0,0.0,,,0.0,296.0,0.0,,,0.0,296.0,,,,,,0.0,,,-22.0,273.0
2002-02-06,6099.0,7.8,,3.25,1.88,1.88393,106.4,320.0,296.0,0.0,-25.0,0.0,0.0,13905.0,16895.0,24375.0,29410.0,32736.0,37438.0,0.0,,,0.0,296.0,0.0,,,0.0,296.0,0.0,,,38.0,334.0,,,,,,0.0,,,-61.0,273.0
2002-02-07,6098.0,7.8,,3.25,1.94,1.93973,106.3,296.0,296.0,0.0,0.0,0.0,0.0,15374.0,16656.0,25538.0,33547.0,35366.0,35434.0,0.0,,,0.0,296.0,0.0,,,38.0,334.0,0.0,,,34.0,368.0,,,,,,0.0,,,-95.0,273.0
2002-02-08,6097.0,7.8,,3.25,2.0,1.95982,106.2,296.0,428.0,0.0,0.0,0.0,133.0,13699.0,14240.0,26441.0,36372.0,39150.0,39126.0,0.0,,,34.0,330.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-09,6096.0,7.8,,3.25,2.0,1.95982,106.3,428.0,480.0,0.0,0.0,-100.0,152.0,1545.0,2070.0,2625.0,1928.0,39150.0,39126.0,0.0,,,34.0,330.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-10,6096.0,7.8,,3.25,2.0,1.95982,106.3,428.0,480.0,0.0,0.0,-100.0,152.0,1545.0,2070.0,2625.0,1928.0,39150.0,39126.0,0.0,,,34.0,330.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-11,6095.0,7.8,,3.25,1.94,1.9442,106.3,480.0,330.0,0.0,34.0,-185.0,0.0,9689.0,19035.0,25891.0,33485.0,37148.0,38458.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-12,6095.0,7.8,,3.25,1.94,1.9442,106.3,480.0,330.0,0.0,34.0,-185.0,0.0,9689.0,19035.0,25891.0,33485.0,37148.0,38458.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-13,6095.0,7.8,,3.25,1.94,1.9442,106.3,480.0,330.0,0.0,34.0,-185.0,0.0,9689.0,19035.0,25891.0,33485.0,37148.0,38458.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-14,6095.0,7.8,,3.25,1.94,1.9442,106.3,480.0,330.0,0.0,34.0,-185.0,0.0,9689.0,19035.0,25891.0,33485.0,37148.0,38458.0,0.0,,,35.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-91.0,273.0
2002-02-15,6094.0,7.8,,3.25,1.88,1.89509,106.1,330.0,364.0,0.0,35.0,0.0,0.0,11395.0,15482.0,28548.0,34948.0,35742.0,36827.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-43.0,321.0,0.0,,,0.0,364.0,0.0,,,-48.0,273.0
2002-02-16,6093.0,7.8,,3.25,1.88,1.89509,106.0,364.0,418.0,0.0,0.0,0.0,54.0,1646.0,1992.0,1980.0,1330.0,35742.0,36827.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-43.0,321.0,0.0,,,0.0,364.0,0.0,,,-48.0,273.0
2002-02-17,6093.0,7.8,,3.25,1.88,1.89509,106.0,364.0,418.0,0.0,0.0,0.0,54.0,1646.0,1992.0,1980.0,1330.0,35742.0,36827.0,0.0,,,0.0,364.0,0.0,,,0.0,364.0,0.0,,,-43.0,321.0,0.0,,,0.0,364.0,0.0,,,-48.0,273.0
2002-02-18,6092.0,7.8,,3.25,1.81,1.88616,106.0,418.0,364.0,0.0,0.0,-54.0,0.0,2447.0,5197.0,14562.0,17206.0,22986.0,22399.0,0.0,,,0.0,364.0,0.0,,,-43.0,321.0,0.0,,,0.0,321.0,0.0,,,0.0,364.0,0.0,,,-48.0,273.0
2002-02-19,6091.0,7.8,,3.25,1.88,1.8817,106.2,364.0,364.0,0.0,0.0,0.0,0.0,11238.0,17538.0,33788.0,41205.0,43543.0,43197.0,0.0,,,-44.0,321.0,0.0,,,0.0,321.0,0.0,,,0.0,321.0,0.0,,,0.0,364.0,0.0,,,-47.0,273.0
2002-02-20,6090.0,7.8,,3.25,1.88,1.875,106.1,364.0,397.0,0.0,-44.0,0.0,76.0,881.0,17921.0,25167.0,26228.0,30481.0,36356.0,0.0,,,0.0,321.0,0.0,,,0.0,321.0,0.0,,,76.0,397.0,0.0,,,0.0,364.0,0.0,,,-123.0,273.0
2002-02-21,6089.0,7.8,,3.25,1.88,1.8817,106.2,397.0,321.0,0.0,0.0,-76.0,0.0,6103.0,13076.0,21187.0,27415.0,32337.0,30108.0,0.0,,,0.0,321.0,0.0,,,76.0,397.0,0.0,,,21.0,418.0,0.0,,,0.0,364.0,0.0,,,-144.0,273.0
2002-02-22,6088.0,7.8,,3.25,1.94,1.9375,106.3,321.0,443.0,0.0,0.0,0.0,122.0,8451.0,13658.0,19234.0,30641.0,31649.0,32313.0,0.0,,,76.0,397.0,0.0,,,21.0,418.0,0.0,,,-90.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-23,6087.0,7.8,,3.25,1.94,1.9375,106.2,443.0,448.0,0.0,0.0,-96.0,101.0,487.0,951.0,1790.0,1806.0,31649.0,32313.0,0.0,,,76.0,397.0,0.0,,,21.0,418.0,0.0,,,-90.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-24,6087.0,7.8,,3.25,1.94,1.9375,106.2,443.0,448.0,0.0,0.0,-96.0,101.0,487.0,951.0,1790.0,1806.0,31649.0,32313.0,0.0,,,76.0,397.0,0.0,,,21.0,418.0,0.0,,,-90.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-25,6086.0,7.8,,3.25,2.0,1.95089,106.2,448.0,630.0,0.0,76.0,-127.0,233.0,7526.0,15260.0,20745.0,27968.0,35179.0,36054.0,0.0,,,21.0,418.0,0.0,,,-90.0,327.0,0.0,,,0.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-26,6085.0,7.8,,3.25,2.06,1.97098,106.3,630.0,592.0,0.0,21.0,-233.0,173.0,11090.0,15098.0,23366.0,28909.0,27904.0,33681.0,0.0,,,-91.0,327.0,0.0,,,0.0,327.0,0.0,,,0.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-27,6084.0,7.8,,3.25,2.13,2.00893,106.5,592.0,334.0,0.0,-91.0,-173.0,7.0,3081.0,17090.0,25833.0,30227.0,33427.0,37067.0,0.0,,,0.0,327.0,0.0,,,0.0,327.0,0.0,,,0.0,327.0,0.0,,,0.0,364.0,0.0,,,-54.0,273.0
2002-02-28,6083.0,7.8,,3.25,2.13,2.24554,106.4,334.0,327.0,0.0,0.0,-7.0,0.0,14925.0,18283.0,28850.0,38561.0,39443.0,41635.0,0.0,,,0.0,327.0,0.0,,,0.0,327.0,0.0,,,5.0,332.0,0.0,,,0.0,364.0,0.0,,,-59.0,273.0
2002-03-01,6082.0,7.8,,3.25,2.13,1.98661,106.4,327.0,350.0,0.0,0.0,0.0,23.0,15957.0,16434.0,24432.0,30057.0,30275.0,34305.0,0.0,,,0.0,327.0,0.0,,,5.0,332.0,0.0,,,-29.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-02,6081.0,7.8,,3.25,2.13,1.98661,106.3,350.0,421.0,0.0,0.0,-23.0,94.0,1218.0,1740.0,1749.0,1514.0,30275.0,34305.0,0.0,,,0.0,327.0,0.0,,,5.0,332.0,0.0,,,-29.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-03,6081.0,7.8,,3.25,2.13,1.98661,106.3,350.0,421.0,0.0,0.0,-23.0,94.0,1218.0,1740.0,1749.0,1514.0,30275.0,34305.0,0.0,,,0.0,327.0,0.0,,,5.0,332.0,0.0,,,-29.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-04,6080.0,7.8,,3.25,1.94,1.9933,106.3,421.0,327.0,0.0,0.0,-94.0,0.0,4129.0,19124.0,27111.0,35805.0,40059.0,40634.0,0.0,,,5.0,332.0,0.0,,,-29.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-05,6079.0,7.8,,3.25,1.94,1.95536,106.2,327.0,338.0,0.0,5.0,0.0,5.0,13656.0,17084.0,28654.0,34694.0,37192.0,38235.0,0.0,,,-29.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-06,6078.0,7.8,,3.25,1.94,1.95759,106.1,338.0,303.0,0.0,-29.0,-5.0,0.0,9949.0,13721.0,23956.0,28781.0,29843.0,34247.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-07,6077.0,7.8,,3.25,1.88,1.97768,105.8,303.0,318.0,0.0,0.0,0.0,15.0,12877.0,13834.0,23942.0,29127.0,33839.0,32764.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,0.0,364.0,0.0,,,-30.0,273.0
2002-03-08,6076.0,7.8,,3.25,2.0,2.0067,105.6,318.0,323.0,0.0,0.0,-15.0,20.0,12992.0,13590.0,23326.0,30977.0,33272.0,33534.0,0.0,,,0.0,303.0,0.0,,,0.0,303.0,0.0,,,21.0,324.0,0.0,,,0.0,364.0,0.0,,,-51.0,273.0
