end_of_date,Unnamed: 0,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
2002-01-21,6113.0,106735.0,5968.0,387.0,388.0,116604.0,107216.0,107215.0,229694.0
2002-01-22,6112.0,106855.0,5972.0,387.0,869.0,116586.0,107242.0,106744.0,229800.0
2002-01-23,6111.0,107675.0,5975.0,344.0,364.0,116607.0,107203.0,107183.0,230601.0
2002-01-24,6110.0,108865.0,5977.0,344.0,344.0,116609.0,107472.0,107472.0,231795.0
2002-01-25,6109.0,109845.0,5977.0,374.0,374.0,116441.0,108416.0,108416.0,232637.0
2002-01-26,6108.0,110145.0,5973.0,374.0,409.0,116452.0,108424.0,108388.0,232944.0
2002-01-27,6108.0,110145.0,5973.0,374.0,409.0,116452.0,108424.0,108388.0,232944.0
2002-01-28,6107.0,110595.0,5977.0,424.0,446.0,116424.0,108572.0,108550.0,233420.0
2002-01-29,6106.0,110985.0,5979.0,445.0,445.0,116414.0,108239.0,108239.0,233823.0
2002-01-30,6105.0,111955.0,5992.0,320.0,384.0,116636.0,108142.0,108077.0,234903.0
2002-01-31,6104.0,113405.0,5996.0,320.0,495.0,116565.0,107997.0,107808.0,236286.0
2002-02-01,6103.0,115715.0,6000.0,320.0,414.0,116503.0,108006.0,107911.0,238538.0
2002-02-02,6102.0,117135.0,5999.0,320.0,394.0,116564.0,108038.0,107963.0,240018.0
2002-02-03,6102.0,117135.0,5999.0,320.0,394.0,116564.0,108038.0,107963.0,240018.0
2002-02-04,6101.0,118395.0,6002.0,320.0,340.0,116685.0,108042.0,108021.0,241402.0
2002-02-05,6100.0,119775.0,6010.0,320.0,320.0,116775.0,107908.0,107908.0,242880.0
2002-02-06,6099.0,120795.0,6022.0,296.0,296.0,116756.0,108425.0,108425.0,243869.0
2002-02-07,6098.0,122395.0,6032.0,296.0,296.0,116800.0,108269.0,108269.0,245523.0
2002-02-08,6097.0,124405.0,6036.0,296.0,428.0,116761.0,108281.0,108145.0,247498.0
2002-02-09,6096.0,126475.0,6036.0,296.0,480.0,116771.0,108288.0,108101.0,249578.0
2002-02-10,6096.0,126475.0,6036.0,296.0,480.0,116771.0,108288.0,108101.0,249578.0
2002-02-11,6095.0,127715.0,6029.0,330.0,330.0,116791.0,108394.0,108394.0,250865.0
2002-02-12,6095.0,127715.0,6029.0,330.0,330.0,116791.0,108394.0,108394.0,250865.0
2002-02-13,6095.0,127715.0,6029.0,330.0,330.0,116791.0,108394.0,108394.0,250865.0
2002-02-14,6095.0,127715.0,6029.0,330.0,330.0,116791.0,108394.0,108394.0,250865.0
2002-02-15,6094.0,125725.0,6021.0,364.0,364.0,116776.0,108055.0,108055.0,248886.0
2002-02-16,6093.0,124575.0,6018.0,364.0,418.0,116786.0,108063.0,108009.0,247743.0
2002-02-17,6093.0,124575.0,6018.0,364.0,418.0,116786.0,108063.0,108009.0,247743.0
2002-02-18,6092.0,122595.0,6027.0,364.0,364.0,116897.0,108415.0,108415.0,245883.0
2002-02-19,6091.0,120855.0,6028.0,364.0,364.0,116893.0,108668.0,108668.0,244140.0
2002-02-20,6090.0,119395.0,6029.0,321.0,397.0,116944.0,107768.0,107691.0,242689.0
2002-02-21,6089.0,118165.0,6027.0,321.0,321.0,116936.0,107662.0,107662.0,241449.0
2002-02-22,6088.0,117475.0,6026.0,321.0,443.0,116971.0,107846.0,107723.0,240793.0
2002-02-23,6087.0,117315.0,6023.0,321.0,448.0,116982.0,107853.0,107725.0,240641.0
2002-02-24,6087.0,117315.0,6023.0,321.0,448.0,116982.0,107853.0,107725.0,240641.0
2002-02-25,6086.0,116385.0,6019.0,397.0,630.0,116962.0,108255.0,108021.0,239763.0
2002-02-26,6085.0,115455.0,6016.0,418.0,592.0,116912.0,107468.0,107294.0,238801.0
2002-02-27,6084.0,114795.0,6013.0,327.0,334.0,116949.0,107494.0,107486.0,238084.0
2002-02-28,6083.0,114675.0,6009.0,327.0,327.0,117072.0,108351.0,108351.0,238083.0
2002-03-01,6082.0,115275.0,6007.0,327.0,350.0,117073.0,107872.0,107848.0,238682.0
2002-03-02,6081.0,115595.0,6003.0,327.0,421.0,117083.0,107879.0,107786.0,239008.0
2002-03-03,6081.0,115595.0,6003.0,327.0,421.0,117083.0,107879.0,107786.0,239008.0
2002-03-04,6080.0,114985.0,6006.0,327.0,327.0,116951.0,107629.0,107629.0,238269.0
2002-03-05,6079.0,114165.0,6004.0,332.0,338.0,116963.0,106920.0,106914.0,237464.0
2002-03-06,6078.0,113515.0,6003.0,303.0,303.0,116983.0,106776.0,106776.0,236804.0
2002-03-07,6077.0,113385.0,5999.0,303.0,318.0,116922.0,106400.0,106384.0,236609.0
2002-03-08,6076.0,113515.0,5999.0,303.0,323.0,116614.0,106262.0,106262.0,236431.0
2002-03-09,6075.0,113465.0,5994.0,303.0,335.0,116625.0,106271.0,106238.0,236387.0
2002-03-10,6075.0,113465.0,5994.0,303.0,335.0,116625.0,106271.0,106238.0,236387.0
2002-03-11,6074.0,113025.0,5990.0,303.0,323.0,116567.0,106327.0,106308.0,235885.0
2002-03-12,6073.0,112115.0,5989.0,303.0,303.0,116593.0,106570.0,106570.0,235000.0
2002-03-13,6072.0,111515.0,5986.0,325.0,325.0,116411.0,106693.0,106693.0,234237.0
2002-03-14,6071.0,111345.0,5982.0,325.0,718.0,116530.0,106276.0,105880.0,234182.0
2002-03-15,6070.0,111425.0,5980.0,325.0,345.0,116428.0,106250.0,106230.0,234158.0
2002-03-16,6069.0,111475.0,5976.0,325.0,325.0,116438.0,106258.0,106258.0,234214.0
2002-03-17,6069.0,111475.0,5976.0,325.0,325.0,116438.0,106258.0,106258.0,234214.0
2002-03-18,6068.0,110945.0,5983.0,409.0,451.0,116438.0,106739.0,106698.0,233775.0
2002-03-19,6067.0,110335.0,5980.0,444.0,444.0,116434.0,106732.0,106732.0,233193.0
2002-03-20,6066.0,110045.0,5977.0,336.0,336.0,116554.0,107121.0,107121.0,232912.0
2002-03-21,6065.0,110215.0,5974.0,357.0,391.0,116446.0,107151.0,107117.0,232992.0
2002-03-22,6064.0,110575.0,5974.0,357.0,372.0,116498.0,107576.0,107561.0,233404.0
2002-03-23,6063.0,110705.0,5971.0,357.0,397.0,116509.0,107584.0,107543.0,233542.0
2002-03-24,6063.0,110705.0,5971.0,357.0,397.0,116509.0,107584.0,107543.0,233542.0
2002-03-25,6062.0,110765.0,5969.0,357.0,399.0,116501.0,107369.0,107327.0,233592.0
2002-03-26,6061.0,111045.0,5962.0,357.0,456.0,116475.0,107450.0,107351.0,233839.0
2002-03-27,6060.0,113105.0,5969.0,307.0,347.0,116611.0,107021.0,106980.0,235992.0
2002-03-28,6059.0,116025.0,5967.0,307.0,783.0,116647.0,107381.0,106904.0,238946.0
2002-03-29,6059.0,116025.0,5967.0,307.0,783.0,116647.0,107381.0,106904.0,238946.0
2002-03-30,6059.0,116025.0,5967.0,307.0,783.0,116647.0,107381.0,106904.0,238946.0
2002-03-31,6059.0,116025.0,5967.0,307.0,783.0,116647.0,107381.0,106904.0,238946.0
2002-04-01,6059.0,116025.0,5967.0,307.0,783.0,116647.0,107381.0,106904.0,238946.0
2002-04-02,6058.0,114485.0,5963.0,307.0,604.0,116620.0,107351.0,107053.0,237375.0
2002-04-03,6057.0,114105.0,5956.0,301.0,480.0,116731.0,107237.0,107056.0,237093.0
2002-04-04,6056.0,114125.0,5951.0,301.0,796.0,116848.0,107319.0,106823.0,237225.0
2002-04-05,6056.0,114125.0,5951.0,301.0,796.0,116848.0,107319.0,106823.0,237225.0
2002-04-06,6055.0,113685.0,5945.0,301.0,714.0,116870.0,107335.0,106921.0,236801.0
2002-04-07,6055.0,113685.0,5945.0,301.0,714.0,116870.0,107335.0,106921.0,236801.0
2002-04-08,6054.0,112945.0,5943.0,301.0,646.0,117007.0,107764.0,107419.0,236196.0
2002-04-09,6053.0,111745.0,5945.0,301.0,301.0,116970.0,107473.0,107473.0,234961.0
2002-04-10,6052.0,111305.0,5941.0,317.0,317.0,117060.0,106461.0,106461.0,234623.0
2002-04-11,6051.0,111185.0,5938.0,317.0,334.0,117033.0,106984.0,106967.0,234473.0
2002-04-12,6050.0,111195.0,5935.0,317.0,366.0,117058.0,107350.0,107300.0,234505.0
2002-04-13,6049.0,111125.0,5931.0,317.0,464.0,117069.0,107358.0,107209.0,234442.0
2002-04-14,6049.0,111125.0,5931.0,317.0,464.0,117069.0,107358.0,107209.0,234442.0
2002-04-15,6048.0,110625.0,5936.0,336.0,336.0,117071.0,107564.0,107564.0,233968.0
2002-04-16,6047.0,110115.0,5936.0,355.0,355.0,117085.0,107382.0,107382.0,233491.0
2002-04-17,6046.0,109645.0,5934.0,334.0,334.0,117068.0,107356.0,107356.0,232981.0
2002-04-18,6045.0,109725.0,5933.0,334.0,334.0,117107.0,107812.0,107812.0,233099.0
2002-04-19,6044.0,109915.0,5930.0,334.0,539.0,117125.0,107869.0,107663.0,233304.0
2002-04-20,6043.0,109975.0,5926.0,334.0,519.0,117136.0,107876.0,107691.0,233371.0
2002-04-21,6043.0,109975.0,5926.0,334.0,519.0,117136.0,107876.0,107691.0,233371.0
2002-04-22,6042.0,109575.0,5920.0,334.0,340.0,117130.0,107880.0,107875.0,232959.0
2002-04-23,6041.0,109185.0,5915.0,384.0,384.0,117146.0,108181.0,108181.0,232630.0
2002-04-24,6040.0,108975.0,5913.0,334.0,334.0,117247.0,108155.0,108155.0,232469.0
2002-04-25,6039.0,109075.0,5911.0,334.0,334.0,117461.0,108817.0,108817.0,232781.0
2002-04-26,6038.0,109775.0,5908.0,355.0,355.0,117418.0,109482.0,109482.0,233456.0
2002-04-27,6037.0,110215.0,5906.0,355.0,387.0,117429.0,109490.0,109457.0,233905.0
2002-04-28,6037.0,110215.0,5906.0,355.0,387.0,117429.0,109490.0,109457.0,233905.0
2002-04-29,6036.0,111195.0,5912.0,443.0,443.0,117428.0,109353.0,109353.0,234978.0
2002-04-30,6035.0,111765.0,5909.0,443.0,443.0,117435.0,109423.0,109423.0,235552.0
2002-05-01,6035.0,111765.0,5909.0,443.0,443.0,117435.0,109423.0,109423.0,235552.0
2002-05-02,6034.0,111745.0,5906.0,303.0,303.0,117674.0,109299.0,109299.0,235628.0
2002-05-03,6033.0,111955.0,5902.0,303.0,321.0,117604.0,109547.0,109528.0,235764.0
2002-05-04,6032.0,112025.0,5899.0,303.0,354.0,117615.0,109555.0,109502.0,235842.0
2002-05-05,6032.0,112025.0,5899.0,303.0,354.0,117615.0,109555.0,109502.0,235842.0
2002-05-06,6031.0,111425.0,5893.0,303.0,303.0,117741.0,109403.0,109403.0,235362.0
2002-05-07,6030.0,111055.0,5891.0,303.0,303.0,117763.0,109417.0,109417.0,235012.0
2002-05-08,6029.0,110885.0,5889.0,314.0,393.0,117687.0,109248.0,109169.0,234775.0
2002-05-09,6028.0,111135.0,5888.0,314.0,314.0,117519.0,108874.0,108874.0,234856.0
2002-05-10,6027.0,111545.0,5885.0,314.0,314.0,117624.0,109088.0,109088.0,235368.0
2002-05-11,6026.0,111555.0,5883.0,314.0,415.0,117034.0,108431.0,108329.0,234786.0
2002-05-12,6026.0,111555.0,5883.0,314.0,415.0,117034.0,108431.0,108329.0,234786.0
2002-05-13,6025.0,111265.0,5888.0,370.0,370.0,117677.0,109176.0,109176.0,235200.0
2002-05-14,6024.0,110705.0,5888.0,397.0,397.0,117536.0,108357.0,108357.0,234526.0
2002-05-15,6023.0,110395.0,5888.0,330.0,330.0,117531.0,108522.0,108522.0,234144.0
2002-05-16,6022.0,110735.0,5888.0,330.0,410.0,117577.0,108812.0,108731.0,234530.0
2002-05-17,6021.0,111685.0,5886.0,330.0,745.0,117645.0,108248.0,107833.0,235546.0
2002-05-18,6020.0,112065.0,5883.0,330.0,1326.0,117665.0,108259.0,107254.0,235943.0
2002-05-19,6020.0,112065.0,5883.0,330.0,1326.0,117665.0,108259.0,107254.0,235943.0
2002-05-20,6020.0,112065.0,5883.0,330.0,1326.0,117665.0,108259.0,107254.0,235943.0
