,end_of_date,cu_weakside,cu_strongside,disc_win_base_rate,hibor_overnight,hibor_fixing_1m,twi,opening_balance,closing_balance,market_activities,interest_payment,discount_window_reversal,discount_window_activities,intraday_movements_of_aggregate_balance_at_0930,intraday_movements_of_aggregate_balance_at_1000,intraday_movements_of_aggregate_balance_at_1100,intraday_movements_of_aggregate_balance_at_1200,intraday_movements_of_aggregate_balance_at_1500,intraday_movements_of_aggregate_balance_at_1600,forex_trans_t1,other_market_activities_t1,reversal_of_discount_window_t1,interest_payment_issuance_efbn_t1,forecast_aggregate_bal_t1,forex_trans_t2,other_market_activities_t2,reversal_of_discount_window_t2,interest_payment_issuance_efbn_t2,forecast_aggregate_bal_t2,forex_trans_t3,other_market_activities_t3,reversal_of_discount_window_t3,interest_payment_issuance_efbn_t3,forecast_aggregate_bal_t3,forex_trans_t4,other_market_activities_t4,reversal_of_discount_window_t4,interest_payment_issuance_efbn_t4,forecast_aggregate_bal_t4,forex_trans_u,other_market_activities_u,reversal_of_discount_window_u,interest_payment_issuance_efbn_u,forecast_aggregate_bal_u
0,2025-11-24,7.85,7.75,4.25,1.37,2.6256,104.4,54163,54212,+0,+49,-0,+0,83369,118505,160405,198637,219341.0,222355.0,+0,+0,-0,+18,54231,+0,+0,-0,-259,53971,+0,+0,-0,+3,53975,+0,+0,-0,+1,53975.0,+0,+0,-0,-664,53311
1,2025-11-21,7.85,7.75,4.25,1.31,2.495,104.5,54183,54163,+0,+0,-20,+0,108060,140448,192177,215327,229891.0,232554.0,+0,+0,-0,+49,54212,+0,+0,-0,+18,54231,+0,+0,-0,-259,53971,,,,,,+0,+0,-0,-660,53311
2,2025-11-20,7.85,7.75,4.25,1.25,2.41036,104.5,54163,54183,+0,+0,-0,+20,125202,133226,165949,190203,214106.0,217674.0,+0,+0,-20,+0,54163,+0,+0,-0,+50,54213,+0,+0,-0,+18,54231,,,,,,+0,+0,-0,-920,53311
3,2025-11-19,7.85,7.75,4.25,0.93,2.28369,104.2,54090,54163,+0,+73,-0,+0,92327,122673,162539,191161,213655.0,212230.0,+0,+0,-0,+0,54163,+0,+0,-0,+0,54163,+0,+0,-0,+50,54213,,,,,,+0,+0,-0,-902,53311
4,2025-11-18,7.85,7.75,4.25,1.4,2.87762,104.4,54090,54090,+0,+0,-0,+0,115251,128075,152301,184260,204383.0,211768.0,+0,+0,-0,+73,54163,+0,+0,-0,+0,54163,+0,+0,-0,+0,54163,,,,,,+0,+0,-0,-852,53311
5,2025-11-17,7.85,7.75,4.25,1.75,3.00429,104.3,54090,54090,+0,+0,-0,+0,93912,126680,146416,165058,195812.0,203239.0,+0,+0,-0,+0,54090,+0,+0,-0,+88,54178,+0,+0,-0,+0,54178,,,,,,+0,+0,-0,-866,53311
6,2025-11-14,7.85,7.75,4.25,1.98,3.06351,104.3,54090,54090,+0,+0,-0,+0,96923,129023,156274,179590,196766.0,205734.0,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+88,54178,,,,,,+0,+0,-0,-866,53311
7,2025-11-13,7.85,7.75,4.25,2.35,3.09756,104.4,54090,54090,+0,+0,-0,+0,81846,121477,149294,174121,195889.0,197723.0,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311
8,2025-11-12,7.85,7.75,4.25,2.52,3.11661,104.5,54072,54090,+0,+18,-0,+0,86769,129175,170705,196262,209717.0,214078.0,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311
9,2025-11-11,7.85,7.75,4.25,2.57,3.01982,104.5,56016,54072,+0,+0,-1944,+0,73303,104671,124635,140769,150765.0,150417.0,+0,+0,-0,+18,54090,+0,+0,-0,+0,54090,+0,+0,-0,+0,54090,,,,,,+0,+0,-0,-778,53311
10,2025-11-10,7.85,7.75,4.25,1.85,3.02268,104.4,54171,56016,+0,+0,-100,+1944,95222,127597,149730,188995,206728.0,211579.0,+0,+0,-1944,+0,54072,+0,+0,-0,-3,54069,+0,+0,-0,+0,54069,,,,,,+0,+0,-0,-758,53311
11,2025-11-07,7.85,7.75,4.25,2.13,3.04637,104.5,54072,54171,+0,+0,-0,+100,113740,118113,154144,180168,213794.0,219292.0,+0,+0,-100,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,-3,54069,,,,,,+0,+0,-0,-758,53311
12,2025-11-06,7.85,7.75,4.25,2.4,3.11845,104.5,54072,54072,+0,+0,-0,+0,86062,114995,140550,174301,200659.0,208162.0,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,-3,54069.0,+0,+0,-0,-758,53311
13,2025-11-05,7.85,7.75,4.25,2.47,3.16131,104.6,54053,54072,+0,+18,-0,+0,120084,124774,159310,187014,196346.0,199076.0,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,,,,,,+0,+0,-0,-760,53311
14,2025-11-04,7.85,7.75,4.25,2.62,3.315,104.4,54678,54053,+0,+0,-625,+0,90469,126189,153733,178295,202381.0,203736.0,+0,+0,-0,+18,54072,+0,+0,-0,+0,54072,+0,+0,-0,+0,54072,,,,,,+0,+0,-0,-760,53311
15,2025-11-03,7.85,7.75,4.25,2.92,3.38173,104.3,54053,54678,+0,+0,-0,+625,107067,141764,179944,194714,205634.0,211898.0,+0,+0,-625,+0,54053,+0,+0,-0,+23,54076,+0,+0,-0,+0,54076,,,,,,+0,+0,-0,-765,53311
16,2025-10-31,7.85,7.75,4.25,3.77,3.42911,104.3,54683,54053,+0,+0,-630,+0,95425,126584,171006,182261,216832.0,219279.0,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,+0,+0,-0,+23,54076,,,,,,+0,+0,-0,-765,53311
17,2025-10-30,7.85,7.75,4.25,3.02,3.41536,104.2,54172,54683,+0,-119,-0,+630,128884,142718,166132,189454,218516.0,224434.0,+0,+0,-630,+0,54053,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,,,,,,+0,+0,-0,-742,53311
18,2025-10-28,7.85,7.75,4.5,3.1,3.43738,104.1,54172,54172,+0,+0,-0,+0,118719,125655,162742,177901,193585.0,196055.0,+0,+0,-0,-119,54053,+0,+0,-0,+0,54053,+0,+0,-0,+0,54053,,,,,,+0,+0,-0,-742,53311
19,2025-10-27,7.85,7.75,4.5,2.88,3.5,104.2,54172,54172,+0,+0,-0,+0,97944,127902,152330,186791,202634.0,210251.0,+0,+0,-0,+0,54172,+0,+0,-0,-141,54031,+0,+0,-0,+0,54031,,,,,,+0,+0,-0,-720,53311
20,2025-10-24,7.85,7.75,4.5,2.78,3.47292,104.3,54192,54172,+0,+0,-20,+0,100130,135447,179229,191157,202690.0,209178.0,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,-141,54031,,,,,,+0,+0,-0,-720,53311
21,2025-10-23,7.85,7.75,4.5,2.9,3.54095,104.3,54172,54192,+0,+0,-0,+20,111767,118276,150851,174041,188986.0,202160.0,+0,+0,-20,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311
22,2025-10-22,7.85,7.75,4.5,3.0,3.53185,104.3,54164,54172,+0,+8,-0,+0,92215,122207,170861,195830,209461.0,212962.0,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311
23,2025-10-21,7.85,7.75,4.5,3.61,3.66411,104.2,54164,54164,+0,+0,-0,+0,84216,126567,163475,174104,188268.0,204972.0,+0,+0,-0,+8,54172,+0,+0,-0,+0,54172,+0,+0,-0,+0,54172,,,,,,+0,+0,-0,-861,53311
24,2025-10-20,7.85,7.75,4.5,3.72,3.57857,104.2,54164,54164,+0,+0,-0,+0,102281,140595,161797,185966,202410.0,211547.0,+0,+0,-0,+0,54164,+0,+0,-0,-22,54141,+0,+0,-0,+0,54141,,,,,,+0,+0,-0,-830,53311
25,2025-10-17,7.85,7.75,4.5,3.51,3.53167,104.2,54164,54164,+0,+0,-0,+0,90226,144812,169302,188938,203138.0,207738.0,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,-22,54141,,,,,,+0,+0,-0,-830,53311
26,2025-10-16,7.85,7.75,4.5,3.25,3.46494,104.2,54184,54164,+0,+0,-20,+0,90505,124740,158345,180733,189761.0,194553.0,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311
27,2025-10-15,7.85,7.75,4.5,3.16,3.42417,104.1,54167,54184,+0,-4,-0,+20,88341,132664,168785,188696,207288.0,210848.0,+0,+0,-20,+0,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311
28,2025-10-14,7.85,7.75,4.5,3.41,3.50423,104.4,54167,54167,+0,+0,-0,+0,93798,130189,167278,195353,222742.0,224150.0,+0,+0,-0,-4,54164,+0,+0,-0,+0,54164,+0,+0,-0,+0,54164,,,,,,+0,+0,-0,-852,53311
29,2025-10-13,7.85,7.75,4.5,3.47,3.44024,104.3,54167,54167,+0,+0,-0,+0,80049,117321,131967,150019,153990.0,156535.0,+0,+0,-0,+0,54167,+0,+0,-0,-30,54137,+0,+0,-0,+0,54137,,,,,,+0,+0,-0,-826,53311
30,2025-10-10,7.85,7.75,4.5,3.18,3.48435,104.2,54167,54167,+0,+0,-0,+0,111500,142688,158915,137318,165454.0,217473.0,+0,+0,-0,+0,54167,+0,+0,-0,+0,54167,+0,+0,-0,-30,54137,,,,,,+0,+0,-0,-826,53311
