,end_of_date,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,aggr_balance_af_disc_win,outstanding_efbn,ow_lb_bf_disc_win,ow_lb_af_disc_win,mb_bf_disc_win_total
0,2025-11-24,627245,13171,54212,54212,1330755,1160259,1160259,2025383
1,2025-11-21,630035,13171,54163,54163,1331740,1160951,1160951,2029109
2,2025-11-20,626595,13171,54163,54183,1331632,1163736,1163715,2025561
3,2025-11-19,625955,13171,54163,54163,1331743,1165552,1165552,2025032
4,2025-11-18,626745,13171,54090,54090,1331110,1164535,1164535,2025116
5,2025-11-17,627505,13171,54090,54090,1330437,1163834,1163834,2025203
6,2025-11-14,630075,13171,54090,54090,1330048,1163528,1163528,2027384
7,2025-11-13,626285,13171,54090,54090,1329888,1162196,1162196,2023434
8,2025-11-12,625375,13168,54090,54090,1329913,1164441,1164441,2022546
9,2025-11-11,626925,13171,54072,54072,1329730,1167842,1167842,2023898
10,2025-11-10,628075,13172,54072,56016,1329701,1168834,1166886,2025020
11,2025-11-07,630995,13172,54072,54171,1329473,1171936,1171836,2027712
12,2025-11-06,627295,13174,54072,54072,1329212,1174523,1174523,2023753
13,2025-11-05,626075,13174,54072,54072,1329018,1175643,1175643,2022339
14,2025-11-04,627335,13178,54053,54053,1328773,1167779,1167779,2023339
15,2025-11-03,627945,13178,54053,54678,1328485,1168957,1168332,2023661
16,2025-10-31,631535,13178,54053,54053,1328030,1168957,1168957,2026796
17,2025-10-30,627915,13183,54053,54683,1327836,1171553,1170922,2022987
18,2025-10-28,628285,13183,54172,54172,1327437,1175801,1175801,2023077
19,2025-10-27,626715,13185,54172,54172,1327410,1176057,1176057,2021482
20,2025-10-24,628345,13185,54172,54172,1327078,1176879,1176879,2022780
21,2025-10-23,624425,13180,54172,54192,1326965,1176148,1176148,2018742
22,2025-10-22,623195,13175,54172,54172,1326765,1176203,1176203,2017307
23,2025-10-21,624555,13175,54164,54164,1326434,1175352,1175352,2018328
24,2025-10-20,625405,13176,54164,54164,1326359,1176356,1176356,2019104
25,2025-10-17,627845,13178,54164,54164,1326177,1176046,1176046,2021364
26,2025-10-16,624165,13178,54164,54164,1326112,1175034,1175034,2017619
27,2025-10-15,623595,13180,54164,54184,1325997,1174191,1174170,2016936
28,2025-10-14,624655,13179,54167,54167,1325771,1170070,1170070,2017772
29,2025-10-13,626385,13179,54167,54167,1325811,1170212,1170212,2019542
30,2025-10-10,629545,13179,54167,54167,1325541,1170397,1170397,2022432
31,2025-10-09,626665,13179,54167,54167,1325402,1170690,1170690,2019413
32,2025-10-08,628095,13179,54167,54167,1325250,1130094,1130094,2020691
33,2025-10-06,630485,13178,54147,54147,1325030,1168882,1168882,2022840
34,2025-10-03,631925,13178,54147,54147,1324899,1169642,1169642,2024149
35,2025-10-02,627285,13178,54147,54147,1324905,1170764,1170764,2019515
36,2025-09-30,628365,13185,54208,54208,1324480,1170669,1170669,2020238
37,2025-09-29,627105,13181,54208,54208,1324513,1171909,1171909,2019007
38,2025-09-26,629695,13181,54208,54208,1324184,1175810,1175810,2021268
39,2025-09-25,625415,13175,54208,54208,1323929,1194132,1194132,2016727
40,2025-09-24,628095,13176,53992,55266,1323054,1119399,1118122,2018317
41,2025-09-23,628095,13176,53992,54368,1323764,1191130,1190754,2019027
42,2025-09-22,626825,13176,53992,54032,1323984,1190659,1190619,2017977
43,2025-09-19,628185,13176,53992,53992,1323777,1192468,1192468,2019130
44,2025-09-18,624375,13176,53992,53992,1323640,1194844,1194844,2015183
45,2025-09-17,621135,13173,53992,53992,1323674,1195627,1195627,2011974
46,2025-09-16,622185,13173,53983,53983,1323602,1195768,1195768,2012943
47,2025-09-15,623785,13174,53983,53983,1323566,1200904,1200904,2014508
48,2025-09-12,626085,13174,53983,53983,1323300,1201303,1201303,2016542
49,2025-09-11,622345,13172,53983,53983,1323316,1201912,1201912,2012816
50,2025-09-10,621445,13172,53983,53983,1323290,1202138,1202138,2011890
51,2025-09-09,622535,13173,53996,53996,1323115,1207959,1207959,2012819
52,2025-09-08,625835,13173,53996,53996,1323169,1209455,1209455,2016173
53,2025-09-05,625835,13173,53996,53996,1322882,1208569,1208569,2015886
54,2025-09-04,621205,13173,53996,53996,1322803,1209055,1209055,2011177
55,2025-09-03,620515,13168,53996,53996,1322746,1209300,1209300,2010425
56,2025-09-02,622085,13168,54061,54061,1322325,1206171,1206171,2011639
57,2025-09-01,622835,13168,54061,55461,1322437,1206525,1205123,2012501
58,2025-08-29,624765,13168,54061,54061,1322034,1205496,1205496,2014028
59,2025-08-28,619575,13168,54061,54061,1322109,1206317,1206317,2008913
60,2025-08-27,618225,13169,54056,54056,1321851,1206067,1206067,2007301
61,2025-08-26,619185,13172,53948,53948,1322209,1201486,1201486,2008514
62,2025-08-25,619735,13172,53944,53944,1322808,1200753,1200753,2009659
63,2025-08-22,621865,13172,53877,53877,1322738,1199470,1199470,2011652
64,2025-08-21,619035,13172,53852,53852,1322611,1199876,1199876,2008670
65,2025-08-20,618315,13172,53832,53909,1322597,1199428,1199351,2007916
66,2025-08-19,619605,13169,53716,53716,1323606,1196920,1196920,2010096
67,2025-08-18,620975,13169,53716,53716,1323856,1197088,1197088,2011716
68,2025-08-15,623175,13168,53716,53716,1324112,1196504,1196504,2014171
69,2025-08-14,619605,13168,57091,57091,1324594,1196775,1196775,2014458
70,2025-08-13,618645,13168,64156,64156,1324588,1198075,1198075,2020557
71,2025-08-12,619615,13164,64062,64062,1324750,1199834,1199834,2021591
72,2025-08-11,620725,13164,64062,64062,1324769,1199825,1199825,2022720
73,2025-08-08,623495,13164,64062,64062,1324669,1200159,1200159,2025390
74,2025-08-07,619235,13164,72501,72501,1324590,1201678,1201678,2029490
75,2025-08-06,618745,13164,72501,72501,1324458,1205748,1205748,2028868
76,2025-08-05,620625,13163,79020,79020,1324546,1202547,1202547,2037354
77,2025-08-04,620625,13163,82552,82552,1324516,1203027,1203027,2040856
78,2025-08-01,623505,13163,82552,82552,1324294,1202757,1202757,2043514
79,2025-07-31,618715,13163,86477,86558,1324261,1202262,1202181,2042616
80,2025-07-30,616785,13163,86477,86477,1324175,1203343,1203343,2040600
81,2025-07-29,617585,13160,86346,86346,1324231,1201013,1201013,2041322
82,2025-07-28,617935,13160,86346,86346,1324162,1204677,1204677,2041603
83,2025-07-25,620235,13160,86346,86346,1324048,1202435,1202435,2043789
84,2025-07-24,616405,13160,86346,86346,1324106,1201588,1201588,2040017
85,2025-07-23,616695,13167,86346,86366,1324033,1208458,1208437,2040241
86,2025-07-22,617255,13169,86429,86449,1323856,1210598,1210577,2040709
87,2025-07-21,618355,13169,86429,86429,1323938,1210655,1210655,2041891
88,2025-07-18,620855,13171,86429,86429,1323908,1210520,1210520,2044363
89,2025-07-17,616595,13171,86429,86429,1323608,1209758,1209758,2039803
90,2025-07-16,614725,13171,101258,101258,1323377,1212483,1212483,2052531
91,2025-07-15,616255,13171,101215,101215,1323597,1211890,1211890,2054238
92,2025-07-14,617685,13171,101215,101215,1323608,1212170,1212170,2055679
93,2025-07-11,620295,13170,114497,114497,1323658,1212058,1212058,2071620
94,2025-07-10,616685,13167,114497,114497,1323679,1212947,1212947,2068028
95,2025-07-09,615845,13165,114497,114497,1323496,1213889,1213889,2067003
96,2025-07-08,617465,13165,114541,119209,1323528,1208376,1203704,2068699
97,2025-07-07,618185,13165,114541,114541,1323597,1208585,1208585,2069488
98,2025-07-04,620745,13165,144175,144175,1323730,1209148,1209148,2101815
99,2025-07-03,616475,13165,144175,144175,1323970,1209454,1209454,2097785
100,2025-07-02,616595,13169,164192,164192,1323727,1209751,1209751,2117683
101,2025-06-30,619045,13169,164098,164098,1323941,1211228,1211228,2120253
102,2025-06-27,617915,13169,164098,164098,1323841,1211129,1211129,2119023
103,2025-06-26,612475,13169,173518,173518,1323590,1211337,1211337,2122752
104,2025-06-25,611555,13169,173518,173518,1323470,1212286,1212286,2121712
105,2025-06-24,612495,13169,173464,173464,1323538,1212562,1212562,2122666
106,2025-06-23,613085,13169,173464,173464,1323522,1214090,1214090,2123240
107,2025-06-20,614885,13169,173464,173464,1323510,1213945,1213945,2125028
108,2025-06-19,611715,13169,173464,173464,1323543,1214383,1214383,2121891
109,2025-06-18,611625,13166,173464,173464,1323502,1214374,1214374,2121757
110,2025-06-17,612645,13175,173483,173483,1323447,1212098,1212098,2122750
111,2025-06-16,613775,13174,173483,173483,1322962,1213024,1213024,2123394
112,2025-06-13,615785,13176,173483,173483,1322926,1213764,1213764,2125370
113,2025-06-12,615145,13176,173483,173483,1322857,1214518,1214518,2124661
114,2025-06-11,611525,13176,173483,173483,1322850,1214555,1214555,2121034
115,2025-06-10,611975,13181,173519,173519,1324646,1206944,1206944,2123321
116,2025-06-09,612915,13181,173519,173539,1324646,1217815,1217795,2124261
117,2025-06-06,616145,13181,173519,173519,1322564,1217357,1217357,2125409
118,2025-06-05,612575,13181,173519,173519,1322434,1218381,1218381,2121709
119,2025-06-04,611735,13181,173519,173519,1322412,1218442,1218442,2120847
120,2025-06-03,612775,13188,173434,176446,1322658,1219112,1216092,2122055
121,2025-06-02,613395,13192,173434,173434,1322735,1219362,1219362,2122756
122,2025-05-30,615415,13192,173434,173434,1322897,1219593,1219593,2124938
123,2025-05-29,609995,13189,173434,173434,1323072,1219989,1219989,2119690
124,2025-05-28,607885,13190,173434,173434,1323029,1220595,1220595,2117538
125,2025-05-27,608125,13193,173658,173658,1322672,1219034,1219034,2117648
126,2025-05-26,608735,13192,173652,173652,1322583,1218590,1218590,2118162
127,2025-05-23,610125,13193,173615,173615,1322484,1217092,1217092,2119417
128,2025-05-22,606705,13194,173593,174089,1322180,1214663,1214165,2115672
129,2025-05-21,605845,13196,173565,173565,1322183,1215609,1215609,2114789
130,2025-05-20,606645,13201,173632,173632,1321985,1209463,1209463,2115463
131,2025-05-19,607665,13201,173630,173630,1320983,1209336,1209336,2115479
132,2025-05-16,609655,13207,173630,173630,1320868,1209469,1209469,2117360
133,2025-05-15,606565,13207,173630,173630,1320848,1209550,1209550,2114250
134,2025-05-14,605765,13205,173630,173630,1320837,1210888,1210888,2113437
135,2025-05-13,606815,13205,174100,174100,1320269,1209477,1209477,2114389
136,2025-05-12,608135,13205,174100,174100,1319794,1209693,1209693,2115234
137,2025-05-09,610745,13205,174100,174100,1318982,1208110,1208110,2117032
138,2025-05-08,608075,13205,174100,174100,1318094,1207684,1207684,2113474
139,2025-05-07,608975,13201,161313,161313,1316382,1207450,1207450,2099871
140,2025-05-06,610455,13204,44611,44611,1315515,1197086,1197086,1983785
141,2025-05-02,615005,13204,44611,44611,1314072,1194827,1194827,1986892
142,2025-04-30,611155,13204,44611,45106,1313813,1199052,1198556,1982783
143,2025-04-29,608595,13204,44547,44597,1313744,1201080,1201030,1980090
144,2025-04-28,607345,13204,44547,44547,1313953,1202597,1202597,1979049
145,2025-04-25,608285,13204,44547,44822,1313620,1203362,1203087,1979656
146,2025-04-24,605745,13204,44547,44547,1313632,1207827,1207827,1977128
147,2025-04-23,607525,13201,44547,44547,1313558,1208027,1208027,1978831
148,2025-04-22,609405,13207,44674,44734,1313393,1204453,1204393,1980679
149,2025-04-17,613795,13207,44674,44674,1312921,1200701,1200701,1984597
150,2025-04-16,610335,13207,44674,44674,1312772,1203779,1203779,1980988
151,2025-04-15,608035,13213,44783,44783,1312525,1202122,1202122,1978556
152,2025-04-14,607075,13213,44783,44783,1312479,1202526,1202526,1977550
153,2025-04-11,608195,13213,44783,45476,1312165,1202389,1201689,1978356
154,2025-04-10,604875,13213,44783,44783,1312236,1202276,1202276,1975107
155,2025-04-09,605505,13217,44783,44783,1312032,1202710,1202710,1975537
156,2025-04-08,607395,13217,44689,44709,1312055,1204696,1204676,1977356
157,2025-04-07,609125,13222,44689,44689,1312062,1204940,1204940,1979098
158,2025-04-03,612915,13223,44689,44689,1311625,1205846,1205846,1982452
159,2025-04-02,610635,13223,44689,44694,1311482,1207310,1207304,1980029
160,2025-04-01,607935,13227,44621,44621,1311391,1206294,1206294,1977174
161,2025-03-31,608025,13227,44621,44621,1311244,1204331,1204331,1977117
162,2025-03-28,609795,13231,44621,44621,1310730,1202407,1202407,1978377
163,2025-03-27,604745,13232,44621,44621,1310501,1201472,1201472,1973099
164,2025-03-26,603505,13236,44621,45540,1310260,1202675,1201755,1971622
165,2025-03-25,604535,13236,44595,44595,1310049,1199644,1199644,1972415
166,2025-03-24,605385,13240,44595,44595,1309855,1199479,1199479,1973075
167,2025-03-21,607225,13240,44595,44595,1309497,1199942,1199942,1974557
168,2025-03-20,604485,13244,44595,44595,1309399,1199799,1199799,1971723
169,2025-03-19,604045,13244,44595,44595,1309230,1200195,1200195,1971114
170,2025-03-18,605545,13252,44720,44720,1308962,1200243,1200243,1972479
171,2025-03-17,606925,13252,44720,46720,1308859,1200161,1198161,1973756
172,2025-03-14,608955,13252,44720,44720,1308488,1199835,1199835,1975415
173,2025-03-13,606005,13256,44720,44720,1308349,1202708,1202708,1972330
174,2025-03-12,605525,13256,44720,44720,1308130,1202820,1202820,1971631
175,2025-03-11,606545,13253,44658,44658,1308164,1202682,1202682,1972620
176,2025-03-10,607555,13258,44658,44658,1308083,1202702,1202702,1973554
177,2025-03-07,610035,13258,44658,44658,1307798,1202228,1202228,1975749
178,2025-03-06,606385,13265,44658,44658,1307634,1204172,1204172,1971942
179,2025-03-05,605175,13264,44658,44658,1307477,1205286,1205286,1970574
180,2025-03-04,607055,13276,44700,46668,1307330,1203509,1201533,1972361
181,2025-03-03,608205,13276,44700,44700,1306998,1203444,1203444,1973179
182,2025-02-28,611335,13276,44700,44700,1306605,1204408,1204408,1975916
183,2025-02-27,607115,13280,44690,44690,1306491,1204611,1204611,1971576
184,2025-02-26,605655,13300,44674,44674,1306320,1207124,1207124,1969949
185,2025-02-25,606375,13300,44762,44762,1306312,1205081,1205081,1970749
186,2025-02-24,607475,13300,44751,44751,1305920,1212618,1212618,1971446
187,2025-02-21,609865,13300,44651,44651,1305593,1210798,1210798,1973409
188,2025-02-20,606905,13303,44631,44631,1305503,1212446,1212446,1970342
189,2025-02-19,606745,13323,44621,44621,1305378,1212501,1212501,1970067
190,2025-02-18,608295,13319,44737,50236,1305358,1209795,1204288,1971709
191,2025-02-17,609895,13318,44737,44737,1305235,1209795,1209795,1973185
192,2025-02-14,612645,13322,44737,44737,1304949,1209585,1209585,1975653
193,2025-02-13,610395,13332,44737,44737,1304818,1210470,1210470,1973282
194,2025-02-12,610615,13336,44737,44737,1304824,1211910,1211910,1973512
195,2025-02-11,612625,13352,44611,44611,1304880,1209512,1209512,1975468
196,2025-02-10,614675,13352,44611,44611,1304690,1210012,1210012,1977328
197,2025-02-07,618415,13352,44611,44611,1304288,1211952,1211952,1980666
198,2025-02-06,618315,13388,44611,44631,1304232,1211321,1211300,1980546
199,2025-02-05,620475,13387,44611,44611,1304158,1212478,1212478,1982631
200,2025-02-04,623545,13387,44614,45865,1303959,1209413,1208160,1985505
201,2025-02-03,627145,13387,44614,44614,1303662,1210586,1210586,1988808
202,2025-01-28,633625,13387,44637,44637,1302882,1205033,1205033,1994531
203,2025-01-27,628685,13387,44637,44637,1302392,1205379,1205379,1989101
204,2025-01-24,626345,13398,44637,44637,1302060,1206138,1206138,1986440
205,2025-01-23,619275,13396,44637,46636,1301988,1207122,1205120,1979296
206,2025-01-22,614985,13396,44637,44637,1301855,1207947,1207947,1974873
207,2025-01-21,613845,13407,44990,44990,1301284,1202255,1202255,1973526
208,2025-01-20,613385,13407,44990,44990,1301045,1203676,1203676,1972827
209,2025-01-17,614695,13408,44990,44990,1300689,1205314,1205314,1973782
210,2025-01-16,609885,13408,44990,44990,1300594,1205542,1205542,1968877
211,2025-01-15,607845,13408,44990,44990,1300542,1205967,1205967,1966785
212,2025-01-14,607965,13408,44852,44852,1300269,1201103,1201103,1966494
213,2025-01-13,607215,13408,44852,44872,1299964,1199207,1199187,1965439
214,2025-01-10,607385,13401,44852,44852,1299579,1200706,1200706,1965217
215,2025-01-09,601975,13388,44852,44852,1299469,1203527,1203527,1959684
216,2025-01-08,600455,13385,44852,44852,1299261,1204073,1204073,1957953
217,2025-01-07,600475,13378,44872,46872,1299004,1204716,1202711,1957729
218,2025-01-06,601335,13370,44872,44872,1298869,1207050,1207050,1958446
219,2025-01-03,603305,13359,44872,44872,1298500,1205292,1205292,1960036
220,2025-01-02,600165,13300,44872,44872,1298313,1205565,1205565,1956650
221,2024-12-31,601415,13300,44802,44802,1297986,1198751,1198751,1957503
222,2024-12-30,601425,13300,44802,45752,1297791,1200650,1199698,1957318
223,2024-12-27,604375,13304,44802,45746,1297385,1205422,1204476,1959866
224,2024-12-24,603005,13304,44753,44758,1297077,1202900,1202894,1958139
225,2024-12-23,599585,13304,44753,44753,1296958,1202846,1202846,1954600
226,2024-12-20,599985,13304,44753,48039,1296576,1203155,1199867,1954618
227,2024-12-19,595865,13304,44753,44773,1296408,1201857,1201837,1950330
228,2024-12-18,594395,13304,44753,44753,1296289,1199660,1199660,1948741
229,2024-12-17,594625,13299,44722,44722,1296145,1197070,1197070,1948791
230,2024-12-16,595705,13297,44722,44722,1296037,1200049,1200049,1949761
231,2024-12-13,598125,13297,44722,44722,1295648,1202454,1202454,1951792
232,2024-12-12,594395,13297,44722,44722,1295495,1201241,1201241,1947909
233,2024-12-11,593735,13297,44722,44722,1295357,1205119,1205119,1947111
234,2024-12-10,594675,13285,44733,44754,1295224,1201398,1201377,1947917
235,2024-12-09,595425,13272,44733,44753,1294980,1200238,1200218,1948410
236,2024-12-06,597815,13267,44719,44719,1294800,1197884,1197884,1950601
237,2024-12-05,593975,13265,44719,44719,1294640,1200888,1200888,1946599
238,2024-12-04,592775,13260,44719,44719,1294408,1201272,1201272,1945162
239,2024-12-03,594245,13248,44793,44793,1294130,1197361,1197361,1946416
240,2024-12-02,595345,13244,44793,44793,1293957,1197419,1197419,1947339
241,2024-11-29,598375,13240,44793,44793,1293539,1197391,1197391,1949947
242,2024-11-28,592875,13240,44793,44996,1293372,1201116,1200912,1944280
243,2024-11-27,590985,13236,44791,45591,1293230,1203805,1202996,1942242
244,2024-11-26,591835,13208,45048,45048,1292828,1201689,1201689,1942919
245,2024-11-25,592515,13126,45046,45046,1292718,1202008,1202008,1943405
246,2024-11-22,594375,13120,44967,46304,1292543,1200028,1198686,1945005
247,2024-11-21,590585,13117,44937,44937,1292434,1201382,1201382,1941073
248,2024-11-20,590475,13112,44937,44937,1292335,1201233,1201233,1940859
249,2024-11-19,591295,13109,44799,44799,1292262,1202003,1202003,1941465
250,2024-11-18,592965,13106,44799,46799,1292105,1202165,1200143,1942975
251,2024-11-15,594765,13103,44799,44899,1291702,1202040,1201940,1944369
252,2024-11-14,590875,13101,44799,44799,1291546,1202624,1202624,1940321
253,2024-11-13,592095,13101,44799,44799,1291340,1202470,1202470,1941335
254,2024-11-12,592005,13101,44729,44729,1291309,1205770,1205770,1941144
255,2024-11-11,591325,13101,44729,45729,1291493,1205556,1204556,1940648
256,2024-11-08,594375,13100,44729,44729,1291119,1205470,1205470,1943323
257,2024-11-07,590575,13100,44729,45829,1290990,1205287,1204174,1939394
258,2024-11-06,589715,13100,44729,44729,1290921,1204629,1204629,1938465
259,2024-11-05,590535,13100,44726,44726,1290870,1182746,1182746,1939231
260,2024-11-04,591465,13100,44726,45169,1290686,1182587,1182143,1939977
261,2024-11-01,594325,13100,44726,44726,1290231,1181860,1181860,1942382
262,2024-10-31,589715,13096,44726,44726,1290096,1181086,1181086,1937633
263,2024-10-30,587935,13096,44726,44726,1289906,1182239,1182239,1935663
264,2024-10-29,588585,13096,44790,44790,1289698,1175688,1175688,1936169
265,2024-10-28,589055,13100,44790,44790,1289737,1175915,1175915,1936682
266,2024-10-25,591485,13100,44790,44790,1289351,1176070,1176070,1938726
267,2024-10-24,587895,13101,44790,44790,1289343,1175429,1175429,1935129
268,2024-10-23,586925,13101,44790,44790,1289243,1177636,1177636,1934059
269,2024-10-22,588315,13101,44797,44797,1289064,1175700,1175700,1935277
270,2024-10-21,589115,13101,44797,44797,1288997,1177998,1177998,1936010
271,2024-10-18,591835,13101,44797,45829,1288595,1182036,1181004,1938328
272,2024-10-17,588575,13105,44797,44797,1288549,1178125,1178125,1935026
273,2024-10-16,589225,13105,44797,44797,1288386,1179144,1179144,1935513
274,2024-10-15,591035,13105,44809,44809,1288078,1173343,1173343,1937027
275,2024-10-14,592795,13104,44809,47039,1287942,1173299,1171068,1938650
276,2024-10-10,597365,13104,44809,44809,1287402,1172592,1172592,1942680
277,2024-10-09,594475,13102,44809,44809,1287367,1175321,1175321,1939753
278,2024-10-08,593195,13102,44775,44795,1287135,1171288,1171268,1938207
279,2024-10-07,594275,13102,44775,49564,1286961,1171149,1166332,1939113
280,2024-10-04,597455,13102,44775,44775,1286838,1171859,1171859,1942170
281,2024-10-03,594135,13102,44775,44775,1286809,1172031,1172031,1938821
282,2024-10-02,594415,13102,44775,44775,1286876,1173378,1173378,1939168
283,2024-09-30,596755,13100,44765,47804,1286805,1171887,1168820,1941425
284,2024-09-27,596075,13100,44765,48070,1286669,1170949,1167628,1940609
285,2024-09-26,591045,13100,44765,44765,1286657,1171465,1171465,1935567
286,2024-09-25,589935,13100,44765,44765,1286749,1172490,1172490,1934549
287,2024-09-24,590765,13100,44551,44551,1286739,1169228,1169228,1935155
288,2024-09-23,591845,13100,44551,44551,1286525,1170028,1170028,1936021
289,2024-09-20,594485,13104,44551,44556,1286471,1170205,1170200,1938611
290,2024-09-19,592045,13105,44551,44551,1286459,1168718,1168718,1936160
291,2024-09-17,592885,13105,44658,44678,1286239,1168313,1168293,1936887
292,2024-09-16,592105,13103,44658,47277,1285855,1167986,1165367,1935721
293,2024-09-13,594195,13099,44658,44658,1285489,1168306,1168306,1937441
294,2024-09-12,590815,13099,44658,44658,1285206,1167918,1167918,1933778
295,2024-09-11,590625,13099,44658,44658,1284866,1167562,1167562,1933248
296,2024-09-10,591835,13099,44701,44701,1284539,1166564,1166564,1934174
297,2024-09-09,592815,13099,44701,44701,1284297,1168416,1168416,1934912
298,2024-09-06,596155,13099,44695,44860,1283921,1169156,1168991,1937870
299,2024-09-05,596155,13099,44695,44695,1283797,1169541,1169541,1937746
300,2024-09-04,591965,13099,44695,44695,1283638,1168210,1168210,1933397
301,2024-09-03,590675,13099,44891,44891,1283146,1168576,1168576,1931811
302,2024-09-02,591615,13103,44891,44891,1282956,1167532,1167532,1932565
303,2024-08-30,594175,13103,44891,44891,1282574,1166637,1166637,1934743
304,2024-08-29,589165,13103,44891,44891,1282469,1175583,1175583,1929628
305,2024-08-28,587705,13103,44891,44891,1282416,1176119,1176119,1928115
306,2024-08-27,588505,13103,44888,44888,1282203,1170351,1170351,1928699
307,2024-08-26,589075,13103,44871,44871,1281972,1169077,1169077,1929021
308,2024-08-23,591625,13099,44829,44829,1281516,1169093,1169093,1931069
309,2024-08-22,588265,13099,44806,44826,1281429,1169979,1169958,1927599
310,2024-08-21,587565,13103,44747,44747,1281267,1169876,1169876,1926682
311,2024-08-20,588685,13103,44877,44877,1280949,1166808,1166808,1927614
312,2024-08-19,589395,13103,44854,44854,1280685,1167153,1167153,1928037
313,2024-08-16,591575,13103,44854,44854,1280298,1166805,1166805,1929830
314,2024-08-15,588475,13103,44854,44854,1280219,1165758,1165758,1926651
315,2024-08-14,587925,13103,44854,44854,1280020,1168496,1168496,1925902
316,2024-08-13,589045,13103,44722,44722,1279916,1170112,1170112,1926786
317,2024-08-12,590055,13103,44722,44722,1279894,1169987,1169987,1927774
318,2024-08-09,592355,13100,44722,44722,1279503,1170717,1170717,1929680
319,2024-08-08,588745,13100,44722,44722,1279330,1169986,1169986,1925897
320,2024-08-07,588275,13104,44722,44722,1279189,1199108,1199108,1925290
321,2024-08-06,589605,13104,45012,45012,1278709,1193318,1193318,1926430
322,2024-08-05,590315,13107,45012,45012,1278337,1193576,1193576,1926771
323,2024-08-02,593385,13101,45012,45012,1277672,1193906,1193906,1929170
324,2024-08-01,589275,13101,45012,45012,1277319,1193633,1193633,1924707
325,2024-07-31,587965,13105,45012,45012,1277022,1194729,1194729,1923104
326,2024-07-30,588635,13105,44783,44783,1276933,1192597,1192597,1923456
327,2024-07-29,589435,13105,44783,44783,1276689,1193465,1193465,1924012
328,2024-07-26,591095,13105,44783,44803,1276172,1193443,1193423,1925155
329,2024-07-25,587325,13108,44783,44783,1275977,1193144,1193144,1921193
330,2024-07-24,587005,13108,44783,44783,1275820,1185764,1185764,1920716
331,2024-07-23,588165,13108,44987,45007,1275439,1193828,1193808,1921699
332,2024-07-22,589525,13108,44987,46789,1275300,1193394,1191591,1922920
333,2024-07-19,592625,13110,44987,44987,1274845,1193024,1193024,1925567
334,2024-07-18,588705,13106,44987,45266,1274629,1191415,1191135,1921427
335,2024-07-17,587785,13106,44987,44987,1274495,1193233,1193233,1920373
336,2024-07-16,589245,13106,44984,44984,1274301,1195332,1195332,1921636
337,2024-07-15,590665,13110,44984,45004,1274162,1195352,1195331,1922921
338,2024-07-12,593845,13112,44984,44984,1273667,1195493,1195493,1925608
339,2024-07-11,589645,13112,44984,44984,1273462,1194265,1194265,1921203
340,2024-07-10,589065,13112,44984,44984,1273351,1197171,1197171,1920512
341,2024-07-09,590665,13116,45203,45203,1272947,1196221,1196221,1921931
342,2024-07-08,591245,13116,45203,45203,1272842,1196660,1196660,1922406
343,2024-07-05,594865,13120,45203,45203,1272397,1196350,1196350,1925585
344,2024-07-04,590445,13122,45203,45203,1272245,1197214,1197214,1921015
345,2024-07-03,590715,13126,45203,46202,1272035,1197046,1196046,1921079
346,2024-07-02,592325,13126,44960,44960,1272155,1197001,1197001,1922566
347,2024-06-28,597355,13121,44960,44960,1271491,1197392,1197392,1926927
348,2024-06-27,590795,13121,44960,44960,1271299,1193456,1193456,1920175
349,2024-06-26,588705,13123,44960,44960,1271173,1194718,1194718,1917961
350,2024-06-25,588425,13127,44782,44782,1271176,1190423,1190423,1917510
351,2024-06-24,589435,13127,44782,44787,1271112,1189818,1189813,1918456
352,2024-06-21,591815,13130,44782,44782,1270700,1189557,1189557,1920427
353,2024-06-20,588015,13130,44782,44782,1270558,1190687,1190687,1916485
354,2024-06-19,587055,13129,44782,46737,1270475,1192156,1190198,1915441
355,2024-06-18,587915,13131,44817,44817,1270248,1194380,1194380,1916111
356,2024-06-17,589155,13131,44817,44817,1270239,1193094,1193094,1917342
357,2024-06-14,590765,13131,44817,44817,1269798,1193246,1193246,1918511
358,2024-06-13,588215,13131,44817,44817,1269545,1193095,1193095,1915708
359,2024-06-12,588865,13134,44817,44817,1269354,1193113,1193113,1916170
360,2024-06-11,590685,13134,44928,44928,1269087,1191644,1191644,1917834
361,2024-06-07,595015,13134,44915,45113,1268580,1191793,1191595,1921644
362,2024-06-06,590295,13134,44915,44915,1268400,1189803,1189803,1916744
363,2024-06-05,589055,13136,44915,44915,1268235,1190196,1190196,1915341
364,2024-06-04,589425,13136,44882,44882,1268212,1186320,1186320,1915655
365,2024-06-03,590925,13140,44882,44882,1268022,1185665,1185665,1916969
366,2024-05-31,593355,13140,44867,44867,1267496,1185184,1185184,1918858
367,2024-05-30,588815,13141,44867,45039,1267460,1185037,1184866,1914283
368,2024-05-29,587055,13141,44867,44907,1267109,1186295,1186255,1912172
369,2024-05-28,588285,13141,44966,45746,1266859,1186280,1185500,1913251
370,2024-05-27,589405,13141,44964,45564,1266763,1186742,1186140,1914273
371,2024-05-24,591265,13145,44951,44951,1266296,1186888,1186888,1915657
372,2024-05-23,588165,13147,44926,44931,1266204,1187578,1187572,1912442
373,2024-05-22,588145,13151,44881,44881,1266103,1185442,1185442,1912280
374,2024-05-21,589515,13157,44887,45585,1265889,1183706,1183006,1913448
